date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,4,-4,0.0,5.0,1,1,11,06:54 AM,04:44 PM,08:38 AM,06:42 PM,2,-3,3,-3,42,92,94,16.2,1016,4,8,168,28
2020-01-23,9,0,0.0,8.3,2,2,3,07:49 AM,05:39 PM,08:37 AM,06:43 PM,1,0,4,0,30,72,86,0.4,1015,9,8,316,21
2020-01-24,6,-2,0.0,10.1,2,2,0,08:38 AM,06:37 PM,08:37 AM,06:44 PM,-3,-3,1,-3,25,38,74,0.0,1020,6,10,320,19
2020-01-25,9,-0,0.0,6.7,1,1,0,09:20 AM,07:37 PM,08:36 AM,06:45 PM,-0,1,3,1,17,58,76,0.0,1019,9,10,150,11
2020-01-26,13,3,0.0,10.1,2,2,4,09:56 AM,08:35 PM,08:35 AM,06:46 PM,2,6,7,6,10,22,74,0.0,1016,13,10,317,6
2020-01-27,11,4,0.0,10.1,3,3,11,10:28 AM,09:33 PM,08:35 AM,06:47 PM,2,5,7,5,18,23,74,0.0,1016,11,10,162,12
2020-01-28,4,0,0.0,5.1,1,1,18,10:57 AM,10:29 PM,08:34 AM,06:48 PM,-0,-3,2,-3,33,81,83,2.1,1018,4,7,45,26
2020-01-29,4,-2,0.4,5.1,1,1,26,11:24 AM,11:26 PM,08:33 AM,06:49 PM,-1,-3,1,-3,20,86,90,0.2,1022,4,9,11,15
2020-01-30,6,0,0.0,5.1,1,1,33,11:49 AM,No moonset,08:32 AM,06:50 PM,-1,0,2,0,11,74,82,0.0,1022,6,10,188,8
2020-01-31,8,-1,0.0,10.2,2,2,37,12:15 PM,12:21 AM,08:32 AM,06:52 PM,-2,-0,3,-0,20,20,72,0.0,1020,8,10,312,13
2020-02-01,14,0,0.0,10.2,3,3,49,12:43 PM,01:18 AM,08:31 AM,06:53 PM,-0,4,6,4,23,6,63,0.0,1020,14,10,264,13
2020-02-02,20,7,0.0,10.2,4,4,57,01:13 PM,02:15 AM,08:30 AM,06:54 PM,3,11,13,11,28,19,55,0.0,1011,20,10,251,15
2020-02-03,17,10,0.0,10.0,3,3,64,01:48 PM,03:15 AM,08:29 AM,06:55 PM,3,12,13,12,41,26,56,0.0,1003,17,10,245,25
2020-02-04,1,-1,0.0,5.1,1,1,72,02:28 PM,04:16 AM,08:28 AM,06:56 PM,-3,-5,0,-5,29,90,78,0.0,1015,1,10,14,23
2020-02-05,1,-3,0.1,6.8,1,1,79,03:16 PM,05:18 AM,08:27 AM,06:57 PM,-6,-7,-2,-7,25,84,73,0.3,1016,1,9,123,20
2020-02-06,6,-5,0.0,10.3,2,2,87,04:12 PM,06:19 AM,08:26 AM,06:58 PM,-8,-4,-1,-4,16,20,58,0.0,1008,6,10,281,11
2020-02-07,8,-2,0.0,10.3,2,2,95,05:17 PM,07:17 AM,08:26 AM,06:59 PM,-4,-0,2,-0,18,33,61,0.0,1011,8,10,333,12
2020-02-08,10,-1,0.0,10.8,2,2,100,06:27 PM,08:09 AM,08:25 AM,07:00 PM,-1,2,4,2,23,12,69,0.0,1020,10,10,158,15
2020-02-09,14,3,0.0,10.0,3,3,100,07:41 PM,08:55 AM,08:24 AM,07:01 PM,4,6,9,6,42,43,73,0.2,1014,14,10,296,28
2020-02-10,8,-1,0.0,8.5,1,1,83,08:54 PM,09:36 AM,08:23 AM,07:03 PM,-4,-1,3,-1,18,59,65,1.1,1022,8,9,27,14
2020-02-11,8,-0,0.3,10.8,2,2,75,10:07 PM,10:12 AM,08:21 AM,07:04 PM,-3,0,3,0,18,42,67,0.8,1025,8,9,49,13
2020-02-12,2,-5,0.5,5.4,1,1,68,11:18 PM,10:46 AM,08:20 AM,07:05 PM,0,-1,1,-1,18,93,89,5.0,1015,2,7,247,13
2020-02-13,0,-7,0.1,10.1,2,2,60,No moonrise,11:19 AM,08:19 AM,07:06 PM,-14,-10,-4,-10,29,27,49,0.0,1029,0,10,20,22
2020-02-14,4,-11,0.0,10.9,1,1,53,12:27 AM,11:53 AM,08:18 AM,07:07 PM,-13,-10,-4,-10,25,18,52,0.0,1031,4,10,162,16
