NAME,POPESTIMATE2019,State,Latitude,Longitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
Alabama,4903185,AL,32.601011199999995,-86.6807365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,29.0,39.0,51.0,78.0,106.0,131.0,157.0,196.0,242.0,381.0,517.0,587.0,694.0,825.0,899.0,987.0,1060.0,1233.0,1495.0,1614.0,1765.0,1952.0,2169.0,2328.0,2703.0,2947.0,3217.0,3563.0,3734.0,3953.0,4075.0,4345.0,4571.0,4712.0,4888.0,5079.0,5317.0,5593.0
Alaska,731545,AK,61.3025006,-158.7750198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,11.0,13.0,18.0,30.0,34.0,41.0,56.0,58.0,85.0,102.0,114.0,119.0,132.0,143.0,157.0,171.0,185.0,190.0,213.0,226.0,235.0,246.0,257.0,272.0,277.0,285.0,293.0,300.0,309.0,314.0,319.0,321.0,329.0,335.0
Arizona,7278717,AZ,34.1682185,-111.930907,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,6.0,9.0,9.0,9.0,12.0,12.0,18.0,20.0,27.0,45.0,68.0,104.0,152.0,235.0,326.0,401.0,508.0,665.0,773.0,919.0,1157.0,1289.0,1413.0,1596.0,1769.0,2019.0,2269.0,2460.0,2575.0,2726.0,3018.0,3112.0,3393.0,3542.0,3705.0,3809.0,3964.0,4237.0,4511.0,4724.0,4933.0,5068.0,5256.0,5473.0
Arkansas,3017804,AR,34.7519275,-92.13137840000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,3.0,3.0,3.0,4.0,62.0,100.0,122.0,165.0,192.0,219.0,280.0,335.0,381.0,409.0,426.0,473.0,523.0,584.0,643.0,704.0,743.0,837.0,875.0,946.0,1000.0,1119.0,1171.0,1228.0,1280.0,1410.0,1498.0,1569.0,1620.0,1695.0,1744.0,1781.0,1973.0,1990.0,2276.0
California,39512223,CA,37.2718745,-119.2704153,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,21.0,25.0,35.0,51.0,59.0,81.0,95.0,101.0,144.0,178.0,221.0,281.0,372.0,373.0,557.0,700.0,828.0,1005.0,1243.0,1405.0,1646.0,2108.0,2538.0,2998.0,3899.0,4657.0,5095.0,5852.0,7138.0,8210.0,9399.0,10773.0,12004.0,12837.0,15034.0,16019.0,17351.0,18897.0,19710.0,21081.0,21706.0,22795.0,23931.0,25356.0,26686.0,27677.0,29157.0,30491.0,31431.0,33686.0,35465.0,37344.0
Colorado,5758736,CO,38.9979339,-105.55056699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,7.0,14.0,30.0,45.0,76.0,101.0,99.0,132.0,167.0,218.0,277.0,363.0,475.0,591.0,704.0,723.0,1021.0,1430.0,1433.0,1740.0,2307.0,2311.0,2966.0,2982.0,3342.0,3742.0,4188.0,4950.0,5183.0,5429.0,5655.0,5655.0,6202.0,6513.0,7307.0,7691.0,7950.0,7956.0,8286.0,8691.0,9047.0,9730.0,9730.0,10473.0,10891.0
Connecticut,3565287,CT,41.518783500000005,-72.75750699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,23.0,24.0,41.0,68.0,96.0,159.0,194.0,194.0,327.0,415.0,618.0,875.0,1012.0,1291.0,1524.0,1993.0,2571.0,3128.0,3557.0,3824.0,4914.0,5276.0,5675.0,6906.0,7781.0,7781.0,9784.0,10538.0,11510.0,12035.0,13381.0,13989.0,14755.0,15884.0,16809.0,17550.0,17962.0,19815.0,20360.0,22469.0
Delaware,973764,DE,39.145251,-75.41892059999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,6.0,8.0,16.0,19.0,30.0,39.0,45.0,56.0,68.0,104.0,119.0,130.0,163.0,214.0,232.0,264.0,319.0,368.0,393.0,450.0,593.0,673.0,783.0,928.0,1116.0,1209.0,1326.0,1479.0,1625.0,1758.0,1926.0,2014.0,2070.0,2317.0,2538.0,2538.0,2745.0,2931.0,3200.0
District of Columbia,705749,DC,38.899348700000004,-77.0145666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,31.0,40.0,71.0,98.0,102.0,120.0,141.0,187.0,231.0,271.0,304.0,342.0,401.0,495.0,586.0,653.0,757.0,902.0,1002.0,1097.0,1211.0,1440.0,1523.0,1660.0,1778.0,1875.0,1955.0,2058.0,2197.0,2350.0,2476.0,2666.0,2793.0,2927.0,3098.0,3206.0
Florida,21477737,FL,27.9757279,-83.8330166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,7.0,10.0,13.0,15.0,24.0,30.0,50.0,76.0,100.0,101.0,190.0,306.0,432.0,564.0,763.0,1004.0,1227.0,1412.0,1682.0,2357.0,2900.0,3763.0,4246.0,5473.0,6741.0,6956.0,9008.0,10268.0,11537.0,12350.0,13324.0,14545.0,15456.0,16364.0,17531.0,18494.0,19895.0,21019.0,21628.0,22511.0,23343.0,24759.0,25492.0,26314.0,27059.0,27869.0,28309.0
