NAME,POPESTIMATE2019,State,Latitude,Longitude,date,pred,truth,state
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-09,862,2703.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-10,1675,2947.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-11,2365,3217.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-12,2894,3563.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-13,3313,3734.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-14,3623,3953.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-15,3859,4075.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-16,4033,4345.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-17,4184,4571.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-18,4326,4712.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-19,4448,4888.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-20,4553,5079.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-21,4645,5317.0,Alabama
Alabama,4903185,AL,32.601011199999995,-86.6807365,2020-04-22,4734,5593.0,Alabama
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-09,72,235.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-10,135,246.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-11,181,257.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-12,213,272.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-13,235,277.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-14,250,285.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-15,260,293.0,Alaska
Alaska,731545,AK,61.3025006,-158.7750198,2020-04-16,267,300.0,Alaska
