State,FIPS,County,pop,landAreakm2,waterAreakm2,totalAreakm2,lat,long,States_full
AL,1001,Autauga,54571,1539.582,25.776,1565.358,+32.536382°,–86.644490°,Alabama
AL,1003,Baldwin,182265,4117.522,"1,133.190",5250.7119999999995,+30.659218°,–87.746067°,Alabama
AL,1005,Barbour,27457,2291.819,50.865,2342.6839999999997,+31.870670°,–85.405456°,Alabama
AL,1007,Bibb,22915,1612.481,9.289,1621.77,+33.015893°,–87.127148°,Alabama
AL,1009,Blount,57322,1669.9620000000002,15.157,1685.119,+33.977448°,–86.567246°,Alabama
AL,1011,Bullock,10914,1613.057,6.057,1619.1129999999998,+32.101759°,–85.717261°,Alabama
AL,1013,Butler,20947,2011.977,2.727,2014.704,+31.751667°,–86.681969°,Alabama
AL,1015,Calhoun,118572,1569.19,16.624,1585.8139999999999,+33.771706°,–85.822513°,Alabama
AL,1017,Chambers,34215,1545.009,17.048,1562.057,+32.917943°,–85.391812°,Alabama
AL,1019,Cherokee,25989,1434.076,119.859,1553.935,+34.069515°,–85.654242°,Alabama
AL,1021,Chilton,43643,1794.484,20.586,1815.07,+32.854060°,–86.726628°,Alabama
AL,1023,Choctaw,13859,2365.955,19.059,2385.014,+31.991008°,–88.248887°,Alabama
AL,1025,Clarke,25833,3207.6090000000004,36.543,3244.152,+31.685521°,–87.818624°,Alabama
AL,1027,Clay,13932,1564.2520000000002,5.285,1569.537,+33.267809°,–85.862051°,Alabama
AL,1029,Cleburne,14972,1450.6529999999998,2.366,1453.0179999999998,+33.671981°,–85.516109°,Alabama
AL,1031,Coffee,49948,1758.529,3.945,1762.474,+31.402183°,–85.989201°,Alabama
AL,1033,Colbert,54428,1534.8770000000002,76.431,1611.308,+34.703112°,–87.801457°,Alabama
AL,1035,Conecuh,13228,2201.895,6.645,2208.54,+31.428293°,–86.992029°,Alabama
AL,1037,Coosa,11539,1685.891,39.947,1725.838,+32.931445°,–86.243482°,Alabama
AL,1039,Covington,37765,2668.87,34.526,2703.3959999999997,+31.243987°,–86.448721°,Alabama
AL,1041,Crenshaw,13906,1576.888,5.376,1582.264,+31.732826°,–86.319222°,Alabama
AL,1043,Cullman,80406,1903.2279999999998,52.267,1955.495,+34.131923°,–86.869267°,Alabama
AL,1045,Dale,50251,1453.371,4.016,1457.388,+31.430654°,–85.609476°,Alabama
AL,1047,Dallas,43820,2534.8070000000002,39.135,2573.942,+32.333540°,–87.114356°,Alabama
AL,1049,DeKalb,71109,2012.662,4.124,2016.786,+34.460929°,–85.803992°,Alabama
AL,1051,Elmore,79303,1601.868,99.863,1701.73,+32.597229°,–86.142739°,Alabama
AL,1053,Escambia,38319,2447.7470000000003,20.873,2468.62,+31.121748°,–87.168429°,Alabama
AL,1055,Etowah,104430,1385.619,35.323,1420.942,+34.047638°,–86.034420°,Alabama
AL,1057,Fayette,17241,1625.632,4.393,1630.024,+33.732249°,–87.752049°,Alabama
AL,1059,Franklin,31704,1641.588,32.898,1674.486,+34.441988°,–87.842815°,Alabama
AL,1061,Geneva,26790,1487.71,11.765,1499.476,+31.090866°,–85.824346°,Alabama
AL,1063,Greene,9045,1676.007,33.231,1709.2379999999998,+32.844497°,–87.964201°,Alabama
AL,1065,Hale,15760,1667.8039999999999,32.526,1700.33,+32.752796°,–87.623061°,Alabama
AL,1067,Henry,17302,1454.9260000000002,16.987,1471.9129999999998,+31.516978°,–85.239971°,Alabama
AL,1069,Houston,101547,1501.7379999999998,4.740,1506.4779999999998,+31.158193°,–85.296398°,Alabama
AL,1071,Jackson,53227,2791.665,126.657,2918.322,+34.763522°,–85.977400°,Alabama
AL,1073,Jefferson,658466,2878.192,32.474,2910.667,+33.553444°,–86.896536°,Alabama
AL,1075,Lamar,14564,1566.545,1.601,1568.145,+33.787085°,–88.087431°,Alabama
AL,1077,Lauderdale,92709,1729.328,138.027,1867.355,+34.904122°,–87.650997°,Alabama
AL,1079,Lawrence,34339,1788.8470000000002,68.688,1857.535,+34.529776°,–87.321865°,Alabama
AL,1081,Lee,140247,1573.511,21.530,1595.0410000000002,+32.604064°,–85.353048°,Alabama
AL,1083,Limestone,82782,1450.2279999999998,122.382,1572.61,+34.810239°,–86.981400°,Alabama
AL,1085,Lowndes,11299,1854.2,23.724,1877.9229999999998,+32.147888°,–86.650586°,Alabama
AL,1087,Macon,21452,1577.005,11.194,1588.1989999999998,+32.387027°,–85.692887°,Alabama
AL,1089,Madison,334811,2076.117,28.771,2104.888,+34.764238°,–86.551080°,Alabama
AL,1091,Marengo,21027,2530.112,14.995,2545.107,+32.247591°,–87.791091°,Alabama
AL,1093,Marion,30776,1922.527,3.313,1925.84,+34.138219°,–87.881551°,Alabama
AL,1095,Marshall,93019,1465.523,148.503,1614.026,+34.309564°,–86.321668°,Alabama
AL,1097,Mobile,412992,3184.223,"1,073.751",4257.974,+30.684573°,–88.196568°,Alabama
AL,1099,Monroe,23068,2656.485,22.643,2679.1279999999997,+31.580332°,–87.383266°,Alabama
AL,1101,Montgomery,229363,2031.191,40.571,2071.762,+32.203651°,–86.203831°,Alabama
AL,1103,Morgan,119490,1500.476,51.065,1551.5410000000002,+34.454484°,–86.846402°,Alabama
AL,1105,Perry,10591,1863.92,10.919,1874.839,+32.639005°,–87.293827°,Alabama
AL,1107,Pickens,19746,2282.837,22.578,2305.415,+33.296809°,–88.096878°,Alabama
AL,1109,Pike,32899,1740.7160000000001,2.363,1743.078,+31.798726°,–85.941997°,Alabama
AL,1111,Randolph,22913,1503.6170000000002,9.285,1512.902,+33.296475°,–85.464068°,Alabama
AL,1113,Russell,52947,1660.546,15.673,1676.219,+32.289811°,–85.186980°,Alabama
AL,1115,St. Clair,83593,1636.619,56.300,1692.9189999999999,+33.712963°,–86.315663°,Alabama
AL,1117,Shelby,195085,2032.96,63.701,2096.661,+33.262937°,–86.678104°,Alabama
AL,1119,Sumter,13763,2341.0570000000002,24.436,2365.494,+32.597481°,–88.200057°,Alabama
AL,1121,Talladega,82291,1908.24,60.944,1969.184,+33.369277°,–86.175805°,Alabama
AL,1123,Tallapoosa,41616,1855.78,128.809,1984.589,+32.863369°,–85.799553°,Alabama
AL,1125,Tuscaloosa,194656,3423.329,76.396,3499.725,+33.290202°,–87.522860°,Alabama
AL,1127,Walker,67023,2049.177,36.264,2085.4410000000003,+33.791571°,–87.301092°,Alabama
AL,1129,Washington,17581,2797.722,21.651,2819.373,+31.406974°,–88.202078°,Alabama
AL,1131,Wilcox,11670,2301.2,48.985,2350.185,+31.990330°,–87.302205°,Alabama
AL,1133,Winston,24484,1587.608,48.923,1636.531,+34.155888°,–87.364147°,Alabama
AK,2013,Aleutians East,3141,18083.148999999998,"20,792.209",38875.358,+55.243722°,–161.950749°,Alaska
AK,2016,Aleutians West [4],5561,11370.763,"25,190.644",36561.406,+51.959447°,+178.338813°,Alaska
AK,2020,Anchorage,291826,4415.109,663.861,5078.97,+61.177549°,–149.274354°,Alaska
AK,2050,Bethel [4],17013,105075.823,"12,779.524",117855.34599999999,+60.928916°,–160.153350°,Alaska
AK,2060,Bristol Bay,997,1304.947,993.830,2298.777,+58.731373°,–156.986612°,Alaska
AK,2068,Denali,1826,33026.001000000004,66.069,33092.068999999996,+63.682732°,–150.026719°,Alaska
AK,2070,Dillingham [4],4847,48092.913,"6,077.224",54170.136,+59.824816°,–158.602233°,Alaska
AK,2090,Fairbanks North Star,97581,19005.874,273.188,19279.063000000002,+64.690832°,–146.599867°,Alaska
AK,2100,Haines,2508,6005.147,"1,053.875",7059.022,+59.099905°,–135.578102°,Alaska
AK,2105,Hoonah-Angoon [4],2150,19489.439,"8,778.085",28267.523999999998,+58.076434°,–135.185100°,Alaska
AK,2110,Juneau,31275,6997.969,"1,429.575",8427.544,+58.372700°,–134.178781°,Alaska
AK,2122,Kenai Peninsula,55400,41634.915,"22,473.290",64108.206,+60.366373°,–152.321973°,Alaska
AK,2130,Ketchikan Gateway,13477,12583.233,"4,649.414",17232.647,+55.449938°,–131.106685°,Alaska
AK,2150,Kodiak Island,13592,16963.332,"14,173.062",31136.394,+57.553611°,–153.630911°,Alaska
AK,2164,Lake and Peninsula,1631,61258.419,"24,010.457",85268.877,+58.205065°,–156.705188°,Alaska
AK,2170,Matanuska-Susitna,88995,63734.16,"1,682.737",65416.898,+62.182174°,–149.407974°,Alaska
AK,2180,Nome [4],9492,59470.685999999994,"13,768.012",73238.698,+64.783686°,–164.188912°,Alaska
AK,2185,North Slope,9430,229720.05399999997,"15,801.179",245521.234,+69.449343°,–153.472830°,Alaska
AK,2188,Northwest Arctic,7523,92132.565,"13,406.688",105539.25300000001,+67.005066°,–160.021086°,Alaska
AK,2195,Petersburg [4],3815,8500.294,"6,221.368",14721.662,+56.639612°,–133.527996°,Alaska
AK,2198,Prince of Wales-Hyder [4],5559,10160.194,"9,739.418",19899.612,+55.415683°,–132.875734°,Alaska
AK,2220,Sitka,8881,7434.144,"5,027.404",12461.548,+57.142509°,–135.332624°,Alaska
AK,2230,Skagway,968,1171.516,30.331,1201.847,+59.575097°,–135.335418°,Alaska
AK,2240,Southeast Fairbanks [4],7029,64150.915,752.795,64903.710999999996,+63.864997°,–143.218628°,Alaska
AK,2261,Valdez-Cordova [4],9636,88680.877,"15,799.690",104480.567,+61.349840°,–145.023141°,Alaska
AK,2270,Wade Hampton [4],7459,44240.706,"6,711.999",50952.705,+62.283174°,–163.190950°,Alaska
AK,2275,Wrangell,2369,6582.411,"2,384.276",8966.687,+56.279121°,–132.040326°,Alaska
AK,2282,Yakutat,662,19812.002,"4,696.710",24508.712000000003,+59.999083°,–140.239593°,Alaska
AK,2290,Yukon-Koyukuk [4],5588,376855.656,"5,956.564",382812.22,+65.376131°,–151.576855°,Alaska
AZ,4001,Apache,71518,29001.444,54.176,29055.62,+35.385845°,–109.493747°,Arizona
AZ,4003,Cochise,131346,15969.063999999998,137.025,16106.089,+31.881793°,–109.754120°,Arizona
AZ,4005,Coconino,134421,48222.689000000006,109.964,48332.653,+35.829692°,–111.773728°,Arizona
AZ,4007,Gila,53597,12322.989,97.112,12420.101,+33.789618°,–110.811870°,Arizona
AZ,4009,Graham,37220,11972.471000000001,47.834,12020.305,+32.931828°,–109.878310°,Arizona
AZ,4011,Greenlee,8437,4773.674,13.745,4787.419,+33.238872°,–109.242323°,Arizona
AZ,4012,La Paz,20489,11653.983999999999,36.582,11690.566,+33.727625°,–114.038793°,Arizona
AZ,4013,Maricopa,3817117,23828.26,62.796,23891.056,+33.346541°,–112.495534°,Arizona
AZ,4015,Mohave,200186,34475.547,387.371,34862.918,+35.717705°,–113.749689°,Arizona
AZ,4017,Navajo,107449,25771.472999999998,24.078,25795.551,+35.390934°,–110.320908°,Arizona
