epoch,Training Loss,Valid. Loss,Training Time,Validation Time
1,0.0036756949282477276,0.014799489049060435,0:00:00,0:00:00
2,0.0014909413803140669,0.020564947139508755,0:00:00,0:00:00
3,0.001870185220978234,0.017259496517388995,0:00:00,0:00:00
4,0.0012093862309641207,0.015512987572626346,0:00:00,0:00:00
5,0.0011009257115021376,0.00964789474201524,0:00:00,0:00:00
6,0.0005338250376886636,0.010913035132300852,0:00:00,0:00:00
7,0.00028233777155230676,0.01538891384343682,0:00:00,0:00:00
8,0.0003132021724452405,0.014299362939674922,0:00:00,0:00:00
9,0.00036988151582858006,0.010588740797869915,0:00:00,0:00:00
10,0.0002605811670219603,0.008707016155654328,0:00:00,0:00:00
11,0.00016467551301275587,0.008247930125767558,0:00:00,0:00:00
12,0.00014869824067668456,0.008159061199166108,0:00:00,0:00:00
13,0.00014251027885372789,0.008142019620717382,0:00:00,0:00:00
14,0.00012810103302858476,0.008225279290799737,0:00:00,0:00:00
15,0.00012145771186420117,0.008700301921234284,0:00:00,0:00:00
16,0.0001789084207370782,0.009416720831438989,0:00:00,0:00:00
17,0.00012214134549801202,0.009666700031179913,0:00:00,0:00:00
18,0.00010097297023334501,0.008970050784223265,0:00:00,0:00:00
19,0.000112841723123979,0.009295992756137838,0:00:00,0:00:00
20,0.00011405329647925785,0.010034263156384378,0:00:00,0:00:00
21,0.00011640309238708864,0.010439818427196676,0:00:00,0:00:00
22,0.0001637195369623575,0.010545407372878913,0:00:00,0:00:00
23,0.0001289235721218005,0.010402307844226154,0:00:00,0:00:00
24,0.00015610217586880376,0.010756866518379532,0:00:00,0:00:00
25,0.00011335589432206142,0.01024230385708206,0:00:00,0:00:00
26,0.00011189686226669922,0.009724043737417901,0:00:00,0:00:00
27,0.00010300427431617586,0.009346054722864003,0:00:00,0:00:00
28,0.00011446530210744428,0.009614575157361962,0:00:00,0:00:00
29,8.781137891891013e-05,0.01058544284716431,0:00:00,0:00:00
30,9.776381053602859e-05,0.0104128954066775,0:00:00,0:00:00
31,9.35404771975106e-05,0.010021884367135579,0:00:00,0:00:00
32,0.00011308752077447743,0.010613132057792444,0:00:00,0:00:00
33,7.985636643333763e-05,0.011554505451838221,0:00:00,0:00:00
34,0.00011056893293379099,0.010989767583773532,0:00:00,0:00:00
35,9.686776489272946e-05,0.010352076597302156,0:00:00,0:00:00
36,0.0001259818561569583,0.010470625514974562,0:00:00,0:00:00
37,0.00012986924043821078,0.012357547581455427,0:00:00,0:00:00
38,0.00016031640391995895,0.01001397456172892,0:00:00,0:00:00
39,0.00014127456799350636,0.010599590915254697,0:00:00,0:00:00
40,0.00012034742690561838,0.010768058121648674,0:00:00,0:00:00
41,9.72836432925698e-05,0.011348623461043443,0:00:00,0:00:00
42,7.99531479926991e-05,0.012000671455738271,0:00:00,0:00:00
43,8.46903260763562e-05,0.011685932024460754,0:00:00,0:00:00
44,0.00010531681593546692,0.011526135675116055,0:00:00,0:00:00
45,0.00015883142826129745,0.011566452995639095,0:00:00,0:00:00
46,0.0002007932791239718,0.009770718530423097,0:00:00,0:00:00
47,0.00014460010379147486,0.010668958970495962,0:00:00,0:00:00
48,0.00011394051131737139,0.01000995822658707,0:00:00,0:00:00
49,0.00010818705439393407,0.011826406024421823,0:00:00,0:00:00
50,0.00013465289026157073,0.012016433273470002,0:00:00,0:00:00
51,0.00011783344912044286,0.010791972168726892,0:00:00,0:00:00
52,0.00012870655440862144,0.009280900476202567,0:00:00,0:00:00
53,0.00012594420620287144,0.011578827964677152,0:00:00,0:00:00
54,0.00011402011407948445,0.011225071304163258,0:00:00,0:00:00
55,0.00010525861485811154,0.009585744761477107,0:00:00,0:00:00
56,0.0001659491018538751,0.009919693718451358,0:00:00,0:00:00
57,0.00011089608485848733,0.010134067402457066,0:00:00,0:00:00
58,0.00011638646751187992,0.010054278354915102,0:00:00,0:00:00
59,0.00010670716610816225,0.011425880069466626,0:00:00,0:00:00
60,0.00011519010762330675,0.010824609294894249,0:00:00,0:00:00
61,9.595519718190195e-05,0.009654723363299067,0:00:00,0:00:00
62,8.814731740744334e-05,0.010420822909567131,0:00:00,0:00:00
63,0.00010023742462256703,0.010838634518429589,0:00:00,0:00:00
64,9.339924487253602e-05,0.01023774021867453,0:00:00,0:00:00
65,0.00012327078654703167,0.010274110524168515,0:00:00,0:00:00
66,0.00010916552739978455,0.010177071406258923,0:00:00,0:00:00
67,0.00010227030419604725,0.010076569517613557,0:00:00,0:00:00
68,8.300722548625716e-05,0.010631757200571032,0:00:00,0:00:00
69,0.00010273103984080859,0.010611975244565036,0:00:00,0:00:00
70,7.480821289131049e-05,0.010495581969552054,0:00:00,0:00:00
71,7.88886217858436e-05,0.011202505195522114,0:00:00,0:00:00
72,9.033490518806977e-05,0.011370663873897702,0:00:00,0:00:00
73,8.436820911535783e-05,0.010412241558310574,0:00:00,0:00:00
74,0.00011749996305575391,0.009945242048600996,0:00:00,0:00:00
75,0.00015640507307228244,0.013062163538905101,0:00:00,0:00:00
76,0.00020616911153044726,0.008720924718551522,0:00:00,0:00:00
77,0.0005668483144949744,0.013989037786665536,0:00:00,0:00:00
78,0.000475899746490238,0.009521899531426676,0:00:00,0:00:00
79,0.00040574757605250114,0.009342968931391504,0:00:00,0:00:00
80,0.0002575335209213897,0.01068471370309057,0:00:00,0:00:00
81,0.0001971462283153515,0.011230600360538287,0:00:00,0:00:00
82,0.0001744758925219074,0.00742009079372595,0:00:00,0:00:00
83,0.00013136247423506153,0.008270752957038273,0:00:00,0:00:00
84,0.00014646025399587376,0.007457157743923114,0:00:00,0:00:00
85,0.00012351491081020351,0.00868856261049185,0:00:00,0:00:00
86,0.00012025721947633648,0.008425828354750866,0:00:00,0:00:00
87,8.594906804445602e-05,0.008828011805365603,0:00:00,0:00:00
88,9.735671540309997e-05,0.008327459893864055,0:00:00,0:00:00
89,0.00010348113191244392,0.009135253102506548,0:00:00,0:00:00
90,8.222353585248877e-05,0.009320375065428294,0:00:00,0:00:00
91,8.624988884671331e-05,0.008543887533485972,0:00:00,0:00:00
92,9.282093000881378e-05,0.009815532795544606,0:00:00,0:00:00
93,8.221292374706986e-05,0.009476546504765414,0:00:00,0:00:00
94,7.704981689825117e-05,0.009447166290046652,0:00:00,0:00:00
95,6.757042940464412e-05,0.010308954862646678,0:00:00,0:00:00
96,8.096978498148197e-05,0.01056701843291495,0:00:00,0:00:00
97,8.271972414884345e-05,0.010071920791976859,0:00:00,0:00:00
98,7.153177147689801e-05,0.010090475492887283,0:00:00,0:00:00
99,8.004186712545639e-05,0.010208755478717938,0:00:00,0:00:00
100,6.87006516321106e-05,0.01045276873596864,0:00:00,0:00:00
