date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,5,-3,0.0,10.0,2,2,11,06:37 AM,04:15 PM,08:22 AM,06:17 PM,-10,-1,0,-1,6,16,47,0.0,1031,5,10,303,5
2020-01-23,6,-1,0.0,6.6,1,1,3,07:32 AM,05:11 PM,08:21 AM,06:18 PM,-5,1,2,1,6,66,59,0.0,1029,6,10,163,4
2020-01-24,9,1,0.0,5.0,2,2,0,08:20 AM,06:09 PM,08:21 AM,06:19 PM,1,3,5,3,17,82,78,0.0,1024,9,10,91,11
2020-01-25,12,6,0.0,5.0,2,2,0,09:02 AM,07:09 PM,08:20 AM,06:21 PM,6,7,9,7,21,78,81,35.5,1012,12,8,268,14
2020-01-26,7,3,0.0,8.3,2,2,4,09:38 AM,08:08 PM,08:19 AM,06:22 PM,-3,2,5,2,20,38,57,0.0,1013,7,10,285,14
2020-01-27,8,2,0.0,8.3,2,2,11,10:09 AM,09:07 PM,08:19 AM,06:23 PM,-2,1,4,1,20,43,62,0.0,1010,8,10,281,14
2020-01-28,7,1,0.0,10.1,2,2,18,10:37 AM,10:05 PM,08:18 AM,06:24 PM,-3,-0,4,-0,24,34,61,0.0,1014,7,10,316,18
2020-01-29,6,0,0.0,10.1,2,2,26,11:03 AM,11:02 PM,08:17 AM,06:25 PM,-5,-0,3,-0,15,7,56,0.0,1020,6,10,328,11
2020-01-30,5,-0,0.0,5.1,1,1,33,11:28 AM,11:59 PM,08:16 AM,06:26 PM,-7,0,2,0,8,55,52,0.0,1025,5,10,101,6
2020-01-31,8,0,0.0,8.3,1,1,37,11:53 AM,No moonset,08:15 AM,06:28 PM,-2,3,4,3,6,53,67,0.0,1025,8,10,145,4
2020-02-01,6,2,0.0,6.7,1,1,49,12:19 PM,12:56 AM,08:15 AM,06:29 PM,1,4,5,4,5,62,80,2.3,1013,6,10,272,4
2020-02-02,9,2,0.0,5.1,2,2,57,12:48 PM,01:55 AM,08:14 AM,06:30 PM,-0,3,6,3,18,70,66,2.3,1004,9,10,233,11
2020-02-03,15,7,0.0,10.2,4,4,64,01:22 PM,02:55 AM,08:13 AM,06:31 PM,6,10,11,10,13,15,69,0.0,1010,15,10,152,7
2020-02-04,12,8,0.0,5.1,3,3,72,02:01 PM,03:57 AM,08:12 AM,06:32 PM,9,10,11,10,16,81,83,2.6,1010,12,7,202,9
2020-02-05,6,3,0.0,5.1,2,2,79,02:47 PM,05:00 AM,08:11 AM,06:33 PM,0,4,6,4,15,92,68,2.8,1015,6,7,43,11
2020-02-06,12,4,0.0,5.1,2,2,87,03:44 PM,06:01 AM,08:10 AM,06:35 PM,8,8,8,8,12,100,96,12.2,1001,12,6,178,7
2020-02-07,13,2,0.0,5.1,2,2,95,04:48 PM,06:59 AM,08:09 AM,06:36 PM,2,4,8,4,38,75,70,11.3,994,13,9,280,26
2020-02-08,7,1,0.0,10.3,1,1,100,05:59 PM,07:51 AM,08:08 AM,06:37 PM,-7,0,3,0,16,35,47,0.0,1023,7,10,244,12
2020-02-09,10,2,0.0,10.3,3,3,100,07:13 PM,08:36 AM,08:07 AM,06:38 PM,-4,3,5,3,13,37,54,0.0,1030,10,10,255,9
2020-02-10,8,1,0.0,5.2,2,2,83,08:27 PM,09:16 AM,08:06 AM,06:39 PM,3,4,7,4,26,78,71,11.3,1022,8,8,213,17
2020-02-11,9,8,0.0,5.2,2,2,75,09:42 PM,09:51 AM,08:05 AM,06:40 PM,8,8,9,8,12,93,93,21.3,1014,9,8,337,8
2020-02-12,9,4,0.0,10.0,2,2,68,10:54 PM,10:24 AM,08:03 AM,06:41 PM,-3,4,6,4,16,58,54,0.8,1021,9,8,222,12
2020-02-13,13,5,0.0,6.8,3,3,60,No moonrise,10:56 AM,08:02 AM,06:43 PM,6,7,10,7,28,81,80,5.6,1008,13,8,252,18
2020-02-14,1,-2,0.0,10.4,2,2,53,12:05 AM,11:29 AM,08:01 AM,06:44 PM,-10,-5,0,-5,24,6,47,0.0,1027,1,10,325,19
2020-02-15,2,-2,0.0,8.4,1,1,45,01:16 AM,12:03 PM,08:00 AM,06:45 PM,-13,-3,-0,-3,12,42,37,0.0,1033,2,10,163,9
2020-02-16,10,0,0.0,8.5,2,2,38,02:24 AM,12:41 PM,07:59 AM,06:46 PM,-4,2,4,2,13,55,57,0.0,1022,10,10,202,9
2020-02-17,10,3,0.0,10.9,3,3,30,03:30 AM,01:24 PM,07:58 AM,06:47 PM,-2,5,6,5,11,27,57,0.0,1024,10,10,66,7
