date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,0,88,0.0,12671821,39.739318,-89.504139,0,0.0
2020-01-23,1,98,0.0,12671821,39.739318,-89.504139,0,1.0
2020-01-24,1,99,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-25,-1,95,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-26,-2,95,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-27,0,96,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-28,-3,93,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-29,-2,90,1.0,12671821,39.739318,-89.504139,0,1.0
2020-01-30,-2,94,1.0,12671821,39.739318,-89.504139,0,2.0
2020-01-31,1,98,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-01,1,95,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-02,8,85,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-03,3,95,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-04,-1,75,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-05,-1,76,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-06,-1,77,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-07,-1,84,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-08,-3,79,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-09,3,91,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-10,2,73,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-11,0,75,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-12,2,82,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-13,-11,84,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-14,-10,78,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-15,0,84,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-16,3,87,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-17,3,95,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-18,-1,78,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-19,-4,59,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-20,-6,52,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-21,3,44,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-22,7,62,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-23,10,83,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-24,5,86,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-25,1,92,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-26,-2,85,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-27,1,59,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-28,-1,68,2.0,12671821,39.739318,-89.504139,0,2.0
2020-02-29,5,57,2.0,12671821,39.739318,-89.504139,0,3.0
2020-03-01,14,79,3.0,12671821,39.739318,-89.504139,0,4.0
2020-03-02,7,70,4.0,12671821,39.739318,-89.504139,0,4.0
2020-03-03,10,62,4.0,12671821,39.739318,-89.504139,0,4.0
2020-03-04,8,64,4.0,12671821,39.739318,-89.504139,0,5.0
2020-03-05,10,60,5.0,12671821,39.739318,-89.504139,0,5.0
2020-03-06,6,54,5.0,12671821,39.739318,-89.504139,0,6.0
2020-03-07,12,56,6.0,12671821,39.739318,-89.504139,0,7.0
2020-03-08,17,62,7.0,12671821,39.739318,-89.504139,0,7.0
2020-03-09,12,85,7.0,12671821,39.739318,-89.504139,0,12.0
2020-03-10,10,77,12.0,12671821,39.739318,-89.504139,0,25.0
2020-03-11,13,78,25.0,12671821,39.739318,-89.504139,0,32.0
2020-03-12,16,85,32.0,12671821,39.739318,-89.504139,0,46.0
2020-03-13,8,59,46.0,12671821,39.739318,-89.504139,0,64.0
2020-03-14,2,78,64.0,12671821,39.739318,-89.504139,0,66.0
2020-03-15,3,84,66.0,12671821,39.739318,-89.504139,0,83.0
2020-03-16,6,83,83.0,12671821,39.739318,-89.504139,0,161.0
2020-03-17,9,64,161.0,12671821,39.739318,-89.504139,0,272.0
2020-03-18,8,84,272.0,12671821,39.739318,-89.504139,0,422.0
2020-03-19,18,94,422.0,12671821,39.739318,-89.504139,0,585.0
2020-03-20,4,75,585.0,12671821,39.739318,-89.504139,0,753.0
2020-03-21,4,65,753.0,12671821,39.739318,-89.504139,1,1049.0
2020-03-22,4,77,1049.0,12671821,39.739318,-89.504139,1,1285.0
2020-03-23,7,89,1285.0,12671821,39.739318,-89.504139,1,1537.0
2020-03-24,12,78,1537.0,12671821,39.739318,-89.504139,1,1865.0
2020-03-25,16,81,1865.0,12671821,39.739318,-89.504139,1,2538.0
2020-03-26,11,92,2538.0,12671821,39.739318,-89.504139,1,3024.0
2020-03-27,11,89,3024.0,12671821,39.739318,-89.504139,1,3491.0
