date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,-1,92,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-23,1,99,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-24,1,98,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-25,-1,93,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-26,-2,95,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-27,0,96,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-28,-5,94,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-29,-3,92,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-30,-3,94,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-01-31,0,98,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-01,0,95,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-02,4,91,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-03,1,95,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-04,-1,75,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-05,-3,83,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-06,-2,80,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-07,-2,84,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-08,-7,91,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-09,2,93,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-10,-1,87,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-11,-2,88,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-12,1,87,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-13,-17,86,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-14,-10,80,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-15,2,86,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-16,3,89,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-17,3,96,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-18,-4,81,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-19,-7,73,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-20,-8,58,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-21,4,48,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-22,7,66,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-23,8,84,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-24,4,85,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-25,1,86,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-26,-2,77,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-27,0,62,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-28,-1,70,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-02-29,7,64,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-01,15,78,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-02,6,70,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-03,10,63,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-04,9,67,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-05,10,63,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-06,6,55,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-07,14,55,0.0,3155070,41.9383166,-93.389798,0,0.0
2020-03-08,18,61,0.0,3155070,41.9383166,-93.389798,0,3.0
2020-03-09,11,90,3.0,3155070,41.9383166,-93.389798,0,8.0
2020-03-10,9,76,8.0,3155070,41.9383166,-93.389798,0,13.0
2020-03-11,13,78,13.0,3155070,41.9383166,-93.389798,0,14.0
2020-03-12,16,82,14.0,3155070,41.9383166,-93.389798,0,17.0
2020-03-13,8,61,17.0,3155070,41.9383166,-93.389798,0,17.0
2020-03-14,3,81,17.0,3155070,41.9383166,-93.389798,0,18.0
2020-03-15,4,82,18.0,3155070,41.9383166,-93.389798,0,23.0
2020-03-16,7,83,23.0,3155070,41.9383166,-93.389798,0,23.0
2020-03-17,9,66,23.0,3155070,41.9383166,-93.389798,0,38.0
2020-03-18,9,89,38.0,3155070,41.9383166,-93.389798,0,44.0
2020-03-19,16,95,44.0,3155070,41.9383166,-93.389798,0,45.0
2020-03-20,4,73,45.0,3155070,41.9383166,-93.389798,0,69.0
2020-03-21,4,71,69.0,3155070,41.9383166,-93.389798,0,90.0
2020-03-22,3,79,90.0,3155070,41.9383166,-93.389798,0,105.0
2020-03-23,8,89,105.0,3155070,41.9383166,-93.389798,0,124.0
2020-03-24,11,79,124.0,3155070,41.9383166,-93.389798,0,146.0
2020-03-25,16,82,146.0,3155070,41.9383166,-93.389798,0,179.0
2020-03-26,11,91,179.0,3155070,41.9383166,-93.389798,0,235.0
2020-03-27,9,90,235.0,3155070,41.9383166,-93.389798,0,298.0
