date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,29,19,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-23,29,21,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-24,28,18,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-25,28,17,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-26,28,21,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-27,30,16,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-28,30,9,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-29,31,10,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-30,30,11,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-01-31,30,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-01,29,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-02,29,12,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-03,30,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-04,30,14,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-05,30,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-06,31,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-07,32,12,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-08,31,18,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-09,31,20,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-10,31,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-11,28,20,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-12,27,22,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-13,29,20,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-14,31,11,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-15,32,8,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-16,33,11,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-17,32,19,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-18,32,19,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-19,32,21,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-20,33,21,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-21,34,16,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-22,34,13,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-23,33,15,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-24,30,18,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-25,28,22,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-26,33,20,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-27,36,13,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-28,37,12,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-02-29,38,11,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-01,37,14,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-02,38,12,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-03,39,13,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-04,39,11,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-05,38,7,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-06,38,9,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-07,38,12,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-08,39,9,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-09,39,7,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-10,39,7,0.0,1344212,45.2185133,-69.0148656,0,0.0
2020-03-11,38,9,0.0,1344212,45.2185133,-69.0148656,0,1.0
2020-03-12,30,11,1.0,1344212,45.2185133,-69.0148656,0,3.0
2020-03-13,30,17,3.0,1344212,45.2185133,-69.0148656,0,3.0
2020-03-14,31,21,3.0,1344212,45.2185133,-69.0148656,0,2.0
2020-03-15,34,14,2.0,1344212,45.2185133,-69.0148656,0,17.0
2020-03-16,36,10,17.0,1344212,45.2185133,-69.0148656,0,26.0
2020-03-17,37,8,26.0,1344212,45.2185133,-69.0148656,0,35.0
2020-03-18,37,9,35.0,1344212,45.2185133,-69.0148656,0,52.0
2020-03-19,38,10,52.0,1344212,45.2185133,-69.0148656,0,56.0
2020-03-20,39,12,56.0,1344212,45.2185133,-69.0148656,0,70.0
2020-03-21,40,11,70.0,1344212,45.2185133,-69.0148656,0,89.0
2020-03-22,41,11,89.0,1344212,45.2185133,-69.0148656,0,107.0
2020-03-23,41,12,107.0,1344212,45.2185133,-69.0148656,0,118.0
2020-03-24,40,16,118.0,1344212,45.2185133,-69.0148656,0,142.0
2020-03-25,41,21,142.0,1344212,45.2185133,-69.0148656,0,155.0
2020-03-26,40,17,155.0,1344212,45.2185133,-69.0148656,0,168.0
2020-03-27,41,14,168.0,1344212,45.2185133,-69.0148656,0,211.0
2020-03-28,41,11,211.0,1344212,45.2185133,-69.0148656,0,253.0
2020-03-29,41,14,253.0,1344212,45.2185133,-69.0148656,0,275.0
2020-03-30,41,14,275.0,1344212,45.2185133,-69.0148656,0,303.0
2020-03-31,42,16,303.0,1344212,45.2185133,-69.0148656,0,303.0
2020-04-01,43,17,303.0,1344212,45.2185133,-69.0148656,1,376.0
2020-04-02,43,16,376.0,1344212,45.2185133,-69.0148656,1,432.0
2020-04-03,43,15,432.0,1344212,45.2185133,-69.0148656,1,456.0
2020-04-04,43,13,456.0,1344212,45.2185133,-69.0148656,1,470.0
2020-04-05,42,16,470.0,1344212,45.2185133,-69.0148656,1,499.0
2020-04-06,44,11,499.0,1344212,45.2185133,-69.0148656,1,519.0
2020-04-07,42,14,519.0,1344212,45.2185133,-69.0148656,1,537.0
2020-04-08,41,12,537.0,1344212,45.2185133,-69.0148656,1,560.0
2020-04-09,40,12,560.0,1344212,45.2185133,-69.0148656,1,586.0
2020-04-10,39,12,586.0,1344212,45.2185133,-69.0148656,1,616.0
2020-04-11,38,13,616.0,1344212,45.2185133,-69.0148656,1,633.0
2020-04-12,37,13,633.0,1344212,45.2185133,-69.0148656,1,698.0
2020-04-13,38,16,698.0,1344212,45.2185133,-69.0148656,1,735.0
2020-04-14,40,13,735.0,1344212,45.2185133,-69.0148656,1,770.0
2020-04-15,40,11,770.0,1344212,45.2185133,-69.0148656,1,796.0
2020-04-16,41,10,796.0,1344212,45.2185133,-69.0148656,1,827.0
2020-04-17,40,6,827.0,1344212,45.2185133,-69.0148656,1,847.0
2020-04-18,40,6,847.0,1344212,45.2185133,-69.0148656,1,867.0
2020-04-19,42,9,867.0,1344212,45.2185133,-69.0148656,1,875.0
2020-04-20,41,11,875.0,1344212,45.2185133,-69.0148656,1,888.0
2020-04-21,41,13,888.0,1344212,45.2185133,-69.0148656,1,907.0
