date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,3,60,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-23,2,96,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-24,2,96,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-25,1,81,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-26,6,76,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-27,2,86,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-28,3,78,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-29,2,86,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-30,2,87,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-01-31,6,89,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-01,4,83,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-02,16,71,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-03,17,73,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-04,5,82,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-05,0,88,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-06,-1,91,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-07,2,85,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-08,1,77,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-09,9,87,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-10,4,78,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-11,6,74,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-12,2,86,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-13,-6,81,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-14,-3,43,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-15,7,47,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-16,9,75,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-17,10,88,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-18,6,75,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-19,6,61,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-20,0,46,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-21,5,30,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-22,11,42,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-23,14,66,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-24,9,94,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-25,6,91,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-26,0,84,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-27,7,57,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-28,6,61,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-02-29,10,53,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-03-01,15,78,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-03-02,12,70,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-03-03,14,59,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-03-04,12,54,0.0,6045680,38.8063524,-77.2684162,0,0.0
2020-03-05,14,48,0.0,6045680,38.8063524,-77.2684162,0,3.0
2020-03-06,9,52,3.0,6045680,38.8063524,-77.2684162,0,3.0
2020-03-07,14,48,3.0,6045680,38.8063524,-77.2684162,0,5.0
2020-03-08,18,48,5.0,6045680,38.8063524,-77.2684162,0,5.0
2020-03-09,14,76,5.0,6045680,38.8063524,-77.2684162,0,8.0
2020-03-10,12,74,8.0,6045680,38.8063524,-77.2684162,0,9.0
2020-03-11,19,72,9.0,6045680,38.8063524,-77.2684162,0,12.0
2020-03-12,17,89,12.0,6045680,38.8063524,-77.2684162,0,18.0
2020-03-13,11,50,18.0,6045680,38.8063524,-77.2684162,0,27.0
2020-03-14,5,76,27.0,6045680,38.8063524,-77.2684162,0,24.0
2020-03-15,6,74,24.0,6045680,38.8063524,-77.2684162,0,42.0
2020-03-16,6,78,42.0,6045680,38.8063524,-77.2684162,0,60.0
2020-03-17,12,71,60.0,6045680,38.8063524,-77.2684162,0,85.0
2020-03-18,10,92,85.0,6045680,38.8063524,-77.2684162,0,107.0
2020-03-19,22,91,107.0,6045680,38.8063524,-77.2684162,0,149.0
2020-03-20,12,74,149.0,6045680,38.8063524,-77.2684162,0,193.0
2020-03-21,9,53,193.0,6045680,38.8063524,-77.2684162,0,244.0
2020-03-22,4,77,244.0,6045680,38.8063524,-77.2684162,0,290.0
2020-03-23,14,74,290.0,6045680,38.8063524,-77.2684162,0,349.0
2020-03-24,10,80,349.0,6045680,38.8063524,-77.2684162,0,425.0
2020-03-25,18,77,425.0,6045680,38.8063524,-77.2684162,0,583.0
2020-03-26,24,78,583.0,6045680,38.8063524,-77.2684162,0,775.0
2020-03-27,25,86,775.0,6045680,38.8063524,-77.2684162,0,995.0
2020-03-28,24,75,995.0,6045680,38.8063524,-77.2684162,0,1239.0
2020-03-29,18,51,1239.0,6045680,38.8063524,-77.2684162,0,1413.0
2020-03-30,18,47,1413.0,6045680,38.8063524,-77.2684162,1,1660.0
2020-03-31,15,61,1660.0,6045680,38.8063524,-77.2684162,1,1986.0
2020-04-01,18,55,1986.0,6045680,38.8063524,-77.2684162,1,2331.0
2020-04-02,19,58,2331.0,6045680,38.8063524,-77.2684162,1,2758.0
2020-04-03,16,74,2758.0,6045680,38.8063524,-77.2684162,1,3125.0
2020-04-04,12,74,3125.0,6045680,38.8063524,-77.2684162,1,3617.0
2020-04-05,19,64,3617.0,6045680,38.8063524,-77.2684162,1,4045.0
2020-04-06,22,72,4045.0,6045680,38.8063524,-77.2684162,1,4371.0
2020-04-07,26,76,4371.0,6045680,38.8063524,-77.2684162,1,5529.0
2020-04-08,30,64,5529.0,6045680,38.8063524,-77.2684162,1,6185.0
2020-04-09,14,48,6185.0,6045680,38.8063524,-77.2684162,1,6968.0
2020-04-10,13,40,6968.0,6045680,38.8063524,-77.2684162,1,7694.0
2020-04-11,17,51,7694.0,6045680,38.8063524,-77.2684162,1,8225.0
2020-04-12,19,83,8225.0,6045680,38.8063524,-77.2684162,1,8936.0
2020-04-13,8,55,8936.0,6045680,38.8063524,-77.2684162,1,9472.0
2020-04-14,9,38,9472.0,6045680,38.8063524,-77.2684162,1,10032.0
2020-04-15,9,49,10032.0,6045680,38.8063524,-77.2684162,1,10784.0
2020-04-16,14,48,10784.0,6045680,38.8063524,-77.2684162,1,11572.0
2020-04-17,10,74,11572.0,6045680,38.8063524,-77.2684162,1,12326.0
2020-04-18,16,51,12326.0,6045680,38.8063524,-77.2684162,1,12847.0
2020-04-19,17,68,12847.0,6045680,38.8063524,-77.2684162,1,13684.0
2020-04-20,18,57,13684.0,6045680,38.8063524,-77.2684162,1,14193.0
