date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,14,8,0.0,5.2,3,3,11,06:28 AM,04:58 PM,08:16 AM,06:51 PM,9,9,11,9,33,78,81,10.7,1020,14,8,126,21
2020-01-23,20,15,0.0,10.4,5,5,3,07:23 AM,05:53 PM,08:16 AM,06:52 PM,13,17,17,17,20,36,80,1.0,1014,20,10,307,15
2020-01-24,21,11,0.0,10.4,5,5,0,08:13 AM,06:49 PM,08:16 AM,06:53 PM,7,15,16,15,9,3,59,0.0,1021,21,10,324,8
2020-01-25,18,12,0.0,10.0,5,5,0,08:57 AM,07:46 PM,08:15 AM,06:54 PM,8,14,15,14,19,33,65,1.9,1020,18,10,130,13
2020-01-26,22,17,0.0,6.8,4,4,4,09:37 AM,08:41 PM,08:15 AM,06:55 PM,16,19,20,19,10,66,85,2.6,1015,22,7,54,7
2020-01-27,24,17,0.0,10.4,5,5,11,10:11 AM,09:36 PM,08:14 AM,06:55 PM,14,19,20,19,12,7,76,0.0,1016,24,10,107,9
2020-01-28,20,14,0.0,5.2,4,4,18,10:44 AM,10:28 PM,08:14 AM,06:56 PM,12,16,16,16,27,74,78,4.7,1012,20,8,165,17
2020-01-29,14,8,0.0,8.4,3,3,26,11:14 AM,11:21 PM,08:13 AM,06:57 PM,5,9,11,9,27,57,69,0.2,1016,14,10,324,20
2020-01-30,15,10,0.0,5.2,3,3,33,11:44 AM,No moonset,08:13 AM,06:58 PM,7,11,12,11,12,76,73,0.0,1018,15,10,45,9
2020-01-31,15,11,0.0,10.0,3,3,37,12:13 PM,12:12 AM,08:12 AM,06:59 PM,8,12,13,12,12,49,72,0.0,1020,15,10,340,9
2020-02-01,20,10,0.0,10.9,4,4,49,12:45 PM,01:05 AM,08:12 AM,07:00 PM,5,14,15,14,12,4,54,0.0,1025,20,10,294,10
2020-02-02,22,13,0.0,10.9,5,5,57,01:19 PM,01:59 AM,08:11 AM,07:01 PM,7,16,17,16,20,17,57,0.0,1021,22,10,228,13
2020-02-03,21,15,0.0,7.0,4,4,64,01:56 PM,02:55 AM,08:11 AM,07:01 PM,15,18,18,18,34,58,81,0.2,1013,21,10,189,21
2020-02-04,25,19,0.0,8.5,5,5,72,02:39 PM,03:53 AM,08:10 AM,07:02 PM,19,23,23,22,27,80,84,0.2,1009,25,10,207,18
2020-02-05,15,8,0.0,7.0,3,3,79,03:29 PM,04:53 AM,08:09 AM,07:03 PM,9,12,14,12,22,83,73,1.8,1007,15,10,337,17
2020-02-06,10,3,0.0,10.1,2,2,87,04:26 PM,05:53 AM,08:09 AM,07:04 PM,-2,3,7,3,26,44,55,0.0,1011,10,10,305,21
2020-02-07,20,8,0.0,11.0,4,4,95,05:30 PM,06:51 AM,08:08 AM,07:05 PM,4,12,14,12,19,2,52,0.0,1014,20,10,229,13
2020-02-08,19,12,0.0,8.5,3,3,100,06:37 PM,07:45 AM,08:07 AM,07:06 PM,11,15,15,15,17,50,75,0.0,1021,19,10,79,12
2020-02-09,21,16,0.0,5.5,4,4,100,07:47 PM,08:35 AM,08:07 AM,07:06 PM,17,19,20,19,31,82,88,1.2,1018,21,10,157,19
2020-02-10,23,18,0.0,5.5,5,5,83,08:55 PM,09:20 AM,08:06 AM,07:07 PM,20,21,22,21,23,100,90,2.8,1015,23,9,177,16
2020-02-11,16,13,0.0,5.5,3,3,75,10:03 PM,10:01 AM,08:05 AM,07:08 PM,12,14,15,14,18,99,82,0.8,1016,16,8,23,13
2020-02-12,18,13,0.0,5.5,4,4,68,11:10 PM,10:39 AM,08:04 AM,07:09 PM,13,15,15,15,18,85,88,1.7,1012,18,9,314,12
2020-02-13,15,10,0.0,11.1,4,4,60,No moonrise,11:17 AM,08:04 AM,07:10 PM,5,10,12,10,19,29,63,0.0,1021,15,10,6,15
2020-02-14,17,6,0.0,11.1,4,4,53,12:15 AM,11:55 AM,08:03 AM,07:10 PM,4,10,12,10,16,5,62,0.0,1029,17,10,62,13
2020-02-15,18,9,0.0,7.1,3,3,45,01:20 AM,12:35 PM,08:02 AM,07:11 PM,10,13,14,13,15,63,76,0.1,1024,18,10,114,11
2020-02-16,24,15,0.0,8.6,4,4,38,02:23 AM,01:18 PM,08:01 AM,07:12 PM,16,18,19,18,10,66,85,0.1,1017,24,7,266,7
2020-02-17,26,17,0.0,5.6,5,5,30,03:25 AM,02:04 PM,08:00 AM,07:13 PM,19,21,21,21,21,83,89,0.6,1013,26,7,192,14
2020-02-18,24,20,0.0,5.8,5,5,22,04:24 AM,02:54 PM,07:59 AM,07:14 PM,19,23,23,22,15,89,88,0.6,1015,24,7,172,10
2020-02-19,17,15,0.0,5.8,4,4,15,05:19 AM,03:47 PM,07:58 AM,07:14 PM,13,17,17,17,19,98,80,0.1,1022,17,10,56,15
2020-02-20,14,10,0.0,5.8,3,3,7,06:09 AM,04:42 PM,07:57 AM,07:15 PM,9,11,13,11,27,97,78,1.0,1025,14,8,12,20
2020-02-21,14,6,0.0,11.6,3,3,0,06:55 AM,05:38 PM,07:56 AM,07:16 PM,0,7,9,7,23,5,53,0.0,1035,14,10,32,17
2020-02-22,17,8,0.0,11.6,4,4,0,07:35 AM,06:34 PM,07:56 AM,07:16 PM,4,11,12,11,13,9,59,0.0,1029,17,10,131,10
2020-02-23,19,12,0.0,5.8,4,4,0,08:11 AM,07:29 PM,07:55 AM,07:17 PM,13,16,16,16,23,87,81,0.0,1019,19,10,155,15
2020-02-24,23,17,0.0,7.3,5,5,0,08:44 AM,08:21 PM,07:54 AM,07:18 PM,14,19,20,19,22,73,73,2.8,1011,23,10,269,14
2020-02-25,26,16,0.0,11.6,6,6,8,09:15 AM,09:14 PM,07:53 AM,07:19 PM,9,20,21,20,14,38,53,0.0,1013,26,10,270,10
2020-02-26,12,7,0.0,11.6,3,3,15,09:45 AM,10:06 PM,07:52 AM,07:19 PM,-2,7,10,7,33,5,43,0.0,1027,12,10,332,25
2020-02-27,17,8,0.0,11.6,4,4,23,10:14 AM,10:58 PM,07:51 AM,07:20 PM,-1,11,12,11,9,0,43,0.0,1030,17,10,282,8
2020-02-28,22,9,0.0,11.6,4,4,30,10:44 AM,11:51 PM,07:50 AM,07:21 PM,4,14,16,14,14,10,50,0.0,1028,22,10,276,11
2020-02-29,21,12,0.0,11.6,5,5,38,11:17 AM,No moonset,07:48 AM,07:21 PM,9,16,17,16,19,6,62,0.0,1025,21,10,177,13
2020-03-01,20,16,0.0,5.9,4,4,44,11:52 AM,12:45 AM,07:47 AM,07:22 PM,15,18,18,18,32,82,80,0.4,1016,20,10,179,19
2020-03-02,25,17,0.0,5.9,5,5,51,12:31 PM,01:42 AM,07:46 AM,07:23 PM,18,20,21,20,22,69,85,0.0,1012,25,10,197,14
2020-03-03,26,19,0.0,5.9,5,5,58,01:17 PM,02:39 AM,07:45 AM,07:23 PM,18,23,23,22,17,60,84,0.2,1009,26,8,83,12
2020-03-04,26,20,0.0,7.3,5,5,65,02:09 PM,03:37 AM,07:44 AM,07:24 PM,19,24,24,23,18,81,84,5.7,1008,26,7,213,12
2020-03-05,21,13,0.0,8.8,4,4,73,03:08 PM,04:34 AM,07:43 AM,07:25 PM,9,15,16,15,22,54,62,0.0,1021,21,10,235,18
