date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,2,97,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-23,1,98,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-24,-3,94,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-25,-1,94,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-26,2,94,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-27,0,93,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-28,-1,93,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-29,-2,95,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-30,2,98,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-01-31,2,96,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-01,6,90,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-02,9,78,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-03,1,91,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-04,-2,66,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-05,0,66,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-06,2,62,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-07,-1,68,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-08,5,63,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-09,3,80,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-10,6,68,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-11,5,66,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-12,4,69,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-13,-10,35,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-14,-2,54,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-15,7,69,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-16,9,70,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-17,10,86,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-18,5,65,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-19,0,75,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-20,-1,47,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-21,8,53,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-22,11,74,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-23,13,68,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-24,7,67,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-25,1,75,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-26,1,56,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-27,6,60,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-28,8,75,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-02-29,16,70,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-03-01,13,62,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-03-02,9,60,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-03-03,14,53,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-03-04,15,56,0.0,1934408,41.5008195,-99.680902,0,0.0
2020-03-05,12,44,0.0,1934408,41.5008195,-99.680902,0,1.0
2020-03-06,11,56,1.0,1934408,41.5008195,-99.680902,0,1.0
2020-03-07,18,44,1.0,1934408,41.5008195,-99.680902,0,1.0
2020-03-08,19,59,1.0,1934408,41.5008195,-99.680902,0,3.0
2020-03-09,11,84,3.0,1934408,41.5008195,-99.680902,0,3.0
2020-03-10,10,66,3.0,1934408,41.5008195,-99.680902,0,5.0
2020-03-11,18,70,5.0,1934408,41.5008195,-99.680902,0,10.0
2020-03-12,14,64,10.0,1934408,41.5008195,-99.680902,0,14.0
2020-03-13,8,51,14.0,1934408,41.5008195,-99.680902,0,18.0
2020-03-14,3,92,18.0,1934408,41.5008195,-99.680902,0,17.0
2020-03-15,3,82,17.0,1934408,41.5008195,-99.680902,0,18.0
2020-03-16,6,88,18.0,1934408,41.5008195,-99.680902,0,23.0
2020-03-17,10,77,23.0,1934408,41.5008195,-99.680902,0,24.0
2020-03-18,18,88,24.0,1934408,41.5008195,-99.680902,0,29.0
2020-03-19,22,82,29.0,1934408,41.5008195,-99.680902,0,37.0
2020-03-20,3,59,37.0,1934408,41.5008195,-99.680902,0,38.0
2020-03-21,8,57,38.0,1934408,41.5008195,-99.680902,0,51.0
