date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,4,-2,0.0,9.9,2,2,11,06:30 AM,03:58 PM,08:15 AM,06:01 PM,-8,-1,1,-1,7,9,53,0.0,1031,4,10,228,6
2020-01-23,3,-0,0.0,4.9,1,1,3,07:26 AM,04:52 PM,08:14 AM,06:02 PM,-6,0,2,0,11,69,55,0.0,1029,3,10,240,7
2020-01-24,8,3,0.0,9.9,3,3,0,08:14 AM,05:51 PM,08:13 AM,06:04 PM,-5,3,5,3,10,28,52,0.0,1027,8,10,76,7
2020-01-25,10,4,0.0,5.0,2,2,0,08:55 AM,06:52 PM,08:13 AM,06:05 PM,5,4,7,4,35,77,90,55.1,1014,10,8,124,21
2020-01-26,7,3,0.0,9.9,1,1,4,09:30 AM,07:53 PM,08:12 AM,06:06 PM,-1,2,5,2,21,31,67,0.0,1010,7,10,264,16
2020-01-27,5,2,0.0,5.0,1,1,11,10:00 AM,08:52 PM,08:11 AM,06:07 PM,-2,-0,4,-0,24,69,65,0.1,1006,5,10,267,17
2020-01-28,4,-2,0.0,10.0,2,2,18,10:27 AM,09:51 PM,08:10 AM,06:08 PM,-5,-2,2,-2,27,13,58,0.0,1010,4,10,318,19
2020-01-29,7,0,0.0,10.0,2,2,26,10:52 AM,10:49 PM,08:09 AM,06:10 PM,-7,-1,3,-1,17,0,48,0.0,1017,7,10,329,14
2020-01-30,2,-2,0.0,8.3,1,1,33,11:16 AM,11:47 PM,08:08 AM,06:11 PM,-11,-2,1,-2,10,50,43,0.0,1026,2,10,69,8
2020-01-31,6,1,0.0,5.0,1,1,37,11:40 AM,No moonset,08:08 AM,06:12 PM,-2,3,3,3,7,83,70,0.7,1026,6,9,117,5
2020-02-01,6,3,0.0,5.0,1,1,49,12:05 PM,12:45 AM,08:07 AM,06:13 PM,2,4,5,4,6,96,85,0.9,1013,6,10,201,5
2020-02-02,6,-1,0.9,8.3,1,1,57,12:33 PM,01:45 AM,08:06 AM,06:14 PM,0,1,4,1,15,83,78,2.5,1001,6,7,269,12
2020-02-03,10,5,0.0,10.0,2,2,64,01:05 PM,02:46 AM,08:05 AM,06:16 PM,3,6,8,6,17,52,72,1.2,1009,10,10,268,12
2020-02-04,11,6,0.0,6.7,2,2,72,01:44 PM,03:50 AM,08:04 AM,06:17 PM,7,8,9,8,15,72,88,0.8,1009,11,8,235,9
2020-02-05,5,2,0.0,6.7,1,1,79,02:29 PM,04:53 AM,08:03 AM,06:18 PM,-3,2,5,2,16,83,58,4.5,1016,5,10,164,12
