date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,4,53,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-23,3,55,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-24,8,52,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-25,10,90,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-26,7,67,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-27,5,65,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-28,4,58,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-29,7,48,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-30,2,43,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-01-31,6,70,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-01,6,85,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-02,6,78,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-03,10,72,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-04,11,88,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-05,5,58,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-06,8,94,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-07,12,74,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-08,5,45,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-09,8,60,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-10,6,79,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-11,7,95,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-12,6,52,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-13,11,84,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-14,-2,43,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-15,1,38,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-16,6,57,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-17,8,57,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-18,9,78,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-19,6,52,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-20,3,39,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-21,3,32,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-22,8,34,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-23,11,43,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-24,12,51,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-25,7,86,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-26,8,86,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-27,5,58,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-28,4,36,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-02-29,1,38,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-03-01,7,44,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-03-02,13,54,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-03-03,12,83,0.0,8882190,40.1430058,-74.7311156,0,0.0
2020-03-04,11,51,0.0,8882190,40.1430058,-74.7311156,0,2.0
