date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,5,53,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-23,7,71,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-24,13,95,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-25,12,78,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-26,9,69,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-27,8,84,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-28,10,73,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-29,8,73,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-30,9,73,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-01-31,9,83,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-01,11,87,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-02,13,70,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-03,18,72,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-04,17,76,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-05,17,93,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-06,19,93,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-07,9,68,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-08,7,63,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-09,10,76,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-10,15,82,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-11,19,91,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-12,12,81,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-13,18,88,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-14,7,58,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-15,7,58,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-16,11,75,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-17,13,79,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-18,17,86,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-19,9,81,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-20,5,83,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-21,4,69,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-22,10,65,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-23,13,70,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-24,10,79,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-25,19,92,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-26,19,76,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-27,8,55,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-28,9,62,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-02-29,6,63,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-03-01,11,54,0.0,10488084,35.2145629,-79.8912675,0,0.0
2020-03-02,16,69,0.0,10488084,35.2145629,-79.8912675,0,1.0
2020-03-03,18,91,1.0,10488084,35.2145629,-79.8912675,0,1.0
2020-03-04,16,62,1.0,10488084,35.2145629,-79.8912675,0,1.0
2020-03-05,11,77,1.0,10488084,35.2145629,-79.8912675,0,2.0
2020-03-06,12,67,2.0,10488084,35.2145629,-79.8912675,0,2.0
2020-03-07,11,56,2.0,10488084,35.2145629,-79.8912675,0,2.0
2020-03-08,14,58,2.0,10488084,35.2145629,-79.8912675,0,2.0
2020-03-09,18,67,2.0,10488084,35.2145629,-79.8912675,0,7.0
2020-03-10,16,82,7.0,10488084,35.2145629,-79.8912675,0,7.0
2020-03-11,21,81,7.0,10488084,35.2145629,-79.8912675,0,15.0
2020-03-12,19,85,15.0,10488084,35.2145629,-79.8912675,0,17.0
2020-03-13,22,71,17.0,10488084,35.2145629,-79.8912675,0,25.0
2020-03-14,14,53,25.0,10488084,35.2145629,-79.8912675,0,32.0
2020-03-15,13,74,32.0,10488084,35.2145629,-79.8912675,0,39.0
2020-03-16,13,72,39.0,10488084,35.2145629,-79.8912675,0,64.0
2020-03-17,14,87,64.0,10488084,35.2145629,-79.8912675,0,92.0
2020-03-18,16,86,92.0,10488084,35.2145629,-79.8912675,0,136.0
2020-03-19,25,85,136.0,10488084,35.2145629,-79.8912675,0,189.0
2020-03-20,26,76,189.0,10488084,35.2145629,-79.8912675,0,256.0
2020-03-21,16,87,256.0,10488084,35.2145629,-79.8912675,0,305.0
2020-03-22,12,75,305.0,10488084,35.2145629,-79.8912675,0,353.0
2020-03-23,12,94,353.0,10488084,35.2145629,-79.8912675,0,495.0
2020-03-24,16,85,495.0,10488084,35.2145629,-79.8912675,0,590.0
2020-03-25,17,90,590.0,10488084,35.2145629,-79.8912675,0,738.0
2020-03-26,17,84,738.0,10488084,35.2145629,-79.8912675,0,887.0
2020-03-27,26,83,887.0,10488084,35.2145629,-79.8912675,0,1020.0
2020-03-28,27,85,1020.0,10488084,35.2145629,-79.8912675,0,1191.0
2020-03-29,27,71,1191.0,10488084,35.2145629,-79.8912675,0,1313.0
2020-03-30,22,54,1313.0,10488084,35.2145629,-79.8912675,1,1535.0
2020-03-31,12,78,1535.0,10488084,35.2145629,-79.8912675,1,1675.0
2020-04-01,12,80,1675.0,10488084,35.2145629,-79.8912675,1,1977.0
2020-04-02,15,66,1977.0,10488084,35.2145629,-79.8912675,1,2251.0
2020-04-03,19,57,2251.0,10488084,35.2145629,-79.8912675,1,2486.0
2020-04-04,19,66,2486.0,10488084,35.2145629,-79.8912675,1,2649.0
2020-04-05,21,79,2649.0,10488084,35.2145629,-79.8912675,1,2962.0
2020-04-06,25,80,2962.0,10488084,35.2145629,-79.8912675,1,3299.0
2020-04-07,25,75,3299.0,10488084,35.2145629,-79.8912675,1,3499.0
2020-04-08,26,75,3499.0,10488084,35.2145629,-79.8912675,1,3736.0
2020-04-09,25,60,3736.0,10488084,35.2145629,-79.8912675,1,3965.0
2020-04-10,12,53,3965.0,10488084,35.2145629,-79.8912675,1,4354.0
2020-04-11,16,56,4354.0,10488084,35.2145629,-79.8912675,1,4570.0
2020-04-12,19,79,4570.0,10488084,35.2145629,-79.8912675,1,4886.0
2020-04-13,23,75,4886.0,10488084,35.2145629,-79.8912675,1,5113.0
2020-04-14,16,68,5113.0,10488084,35.2145629,-79.8912675,1,5340.0
