State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
AL;01001;Autauga;54,571;1,539.582;25.776;1,565.358;+32.536382°;–86.644490°
AL;01003;Baldwin;182,265;4,117.522;1,133.190;5,250.712;+30.659218°;–87.746067°
AL;01005;Barbour;27,457;2,291.819;50.865;2,342.684;+31.870670°;–85.405456°
AL;01007;Bibb;22,915;1,612.481;9.289;1,621.770;+33.015893°;–87.127148°
AL;01009;Blount;57,322;1,669.962;15.157;1,685.119;+33.977448°;–86.567246°
AL;01011;Bullock;10,914;1,613.057;6.057;1,619.113;+32.101759°;–85.717261°
AL;01013;Butler;20,947;2,011.977;2.727;2,014.704;+31.751667°;–86.681969°
AL;01015;Calhoun;118,572;1,569.190;16.624;1,585.814;+33.771706°;–85.822513°
AL;01017;Chambers;34,215;1,545.009;17.048;1,562.057;+32.917943°;–85.391812°
AL;01019;Cherokee;25,989;1,434.076;119.859;1,553.935;+34.069515°;–85.654242°
AL;01021;Chilton;43,643;1,794.484;20.586;1,815.070;+32.854060°;–86.726628°
AL;01023;Choctaw;13,859;2,365.955;19.059;2,385.014;+31.991008°;–88.248887°
AL;01025;Clarke;25,833;3,207.609;36.543;3,244.152;+31.685521°;–87.818624°
AL;01027;Clay;13,932;1,564.252;5.285;1,569.537;+33.267809°;–85.862051°
AL;01029;Cleburne;14,972;1,450.653;2.366;1,453.018;+33.671981°;–85.516109°
AL;01031;Coffee;49,948;1,758.529;3.945;1,762.474;+31.402183°;–85.989201°
AL;01033;Colbert;54,428;1,534.877;76.431;1,611.308;+34.703112°;–87.801457°
AL;01035;Conecuh;13,228;2,201.895;6.645;2,208.540;+31.428293°;–86.992029°
AL;01037;Coosa;11,539;1,685.891;39.947;1,725.838;+32.931445°;–86.243482°
AL;01039;Covington;37,765;2,668.870;34.526;2,703.396;+31.243987°;–86.448721°
AL;01041;Crenshaw;13,906;1,576.888;5.376;1,582.264;+31.732826°;–86.319222°
AL;01043;Cullman;80,406;1,903.228;52.267;1,955.495;+34.131923°;–86.869267°
AL;01045;Dale;50,251;1,453.371;4.016;1,457.388;+31.430654°;–85.609476°
AL;01047;Dallas;43,820;2,534.807;39.135;2,573.942;+32.333540°;–87.114356°
AL;01049;DeKalb;71,109;2,012.662;4.124;2,016.786;+34.460929°;–85.803992°
AL;01051;Elmore;79,303;1,601.868;99.863;1,701.730;+32.597229°;–86.142739°
AL;01053;Escambia;38,319;2,447.747;20.873;2,468.620;+31.121748°;–87.168429°
AL;01055;Etowah;104,430;1,385.619;35.323;1,420.942;+34.047638°;–86.034420°
AL;01057;Fayette;17,241;1,625.632;4.393;1,630.024;+33.732249°;–87.752049°
AL;01059;Franklin;31,704;1,641.588;32.898;1,674.486;+34.441988°;–87.842815°
AL;01061;Geneva;26,790;1,487.710;11.765;1,499.476;+31.090866°;–85.824346°
AL;01063;Greene;9,045;1,676.007;33.231;1,709.238;+32.844497°;–87.964201°
AL;01065;Hale;15,760;1,667.804;32.526;1,700.330;+32.752796°;–87.623061°
AL;01067;Henry;17,302;1,454.926;16.987;1,471.913;+31.516978°;–85.239971°
AL;01069;Houston;101,547;1,501.738;4.740;1,506.478;+31.158193°;–85.296398°
