date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,20,17,0.0,5.4,4,4,11,06:32 AM,05:16 PM,08:21 AM,07:07 PM,14,19,19,19,29,86,75,1.9,1016,20,10,161,20
2020-01-23,28,17,0.0,10.9,6,6,3,07:27 AM,06:10 PM,08:21 AM,07:08 PM,12,21,21,21,18,9,62,0.0,1014,28,10,330,12
2020-01-24,23,14,0.0,10.9,5,5,0,08:17 AM,07:07 PM,08:21 AM,07:09 PM,10,18,18,18,20,9,63,0.0,1020,23,10,75,14
2020-01-25,23,16,0.0,5.4,4,4,0,09:02 AM,08:02 PM,08:21 AM,07:10 PM,15,19,20,19,24,62,79,8.9,1017,23,9,129,15
2020-01-26,29,19,0.0,10.9,6,6,4,09:43 AM,08:57 PM,08:20 AM,07:11 PM,16,24,24,23,17,28,69,1.4,1014,29,10,333,11
2020-01-27,28,16,0.0,10.9,6,6,11,10:19 AM,09:50 PM,08:20 AM,07:11 PM,13,21,21,21,19,1,65,0.0,1014,28,10,136,13
2020-01-28,28,19,0.0,8.5,5,5,18,10:52 AM,10:41 PM,08:19 AM,07:12 PM,12,22,22,22,26,42,61,0.3,1012,28,10,317,17
2020-01-29,22,13,0.0,10.9,5,5,26,11:24 AM,11:32 PM,08:19 AM,07:13 PM,1,17,17,17,22,3,36,0.0,1018,22,10,342,15
2020-01-30,18,13,0.0,7.0,4,4,33,11:55 AM,No moonset,08:19 AM,07:14 PM,10,15,15,15,23,63,72,1.0,1015,18,8,75,16
2020-01-31,19,12,0.0,7.0,3,3,37,12:26 PM,12:22 AM,08:18 AM,07:14 PM,9,14,15,14,18,61,68,0.4,1020,19,10,16,13
2020-02-01,21,13,0.0,10.1,4,4,49,12:58 PM,01:14 AM,08:18 AM,07:15 PM,4,15,16,15,20,24,47,0.0,1026,21,10,319,14
2020-02-02,24,13,0.0,11.0,5,5,57,01:34 PM,02:06 AM,08:17 AM,07:16 PM,7,18,18,18,26,15,51,0.0,1021,24,10,174,17
2020-02-03,24,18,0.0,11.0,6,6,64,02:12 PM,03:01 AM,08:17 AM,07:17 PM,14,21,22,21,40,39,67,0.0,1011,24,10,179,27
2020-02-04,31,20,0.0,11.0,7,7,72,02:56 PM,03:58 AM,08:16 AM,07:17 PM,16,26,26,25,29,12,63,0.0,1007,31,10,125,19
2020-02-05,23,17,0.0,10.1,5,5,79,03:47 PM,04:57 AM,08:16 AM,07:18 PM,11,21,22,21,27,36,57,0.0,1006,23,10,343,19
2020-02-06,20,7,0.0,11.0,4,4,87,04:44 PM,05:57 AM,08:15 AM,07:19 PM,-2,11,13,11,29,5,38,0.0,1013,20,10,316,21
2020-02-07,25,11,0.0,11.1,5,5,95,05:47 PM,06:55 AM,08:14 AM,07:20 PM,5,17,18,17,29,0,46,0.0,1014,25,10,176,19
2020-02-08,26,17,0.0,10.1,5,5,100,06:54 PM,07:50 AM,08:14 AM,07:20 PM,17,22,22,21,29,47,77,0.8,1017,26,10,141,20
2020-02-09,26,21,0.0,5.5,5,5,100,08:02 PM,08:41 AM,08:13 AM,07:21 PM,20,26,26,23,42,91,80,1.3,1013,26,10,154,29
2020-02-10,30,23,0.0,10.1,6,6,83,09:10 PM,09:27 AM,08:13 AM,07:22 PM,20,27,27,25,40,50,72,0.0,1011,30,10,165,29
2020-02-11,27,22,0.0,5.6,5,5,75,10:15 PM,10:09 AM,08:12 AM,07:23 PM,18,26,26,24,26,81,75,0.1,1012,27,10,155,19
2020-02-12,20,11,0.0,7.1,4,4,68,11:20 PM,10:50 AM,08:11 AM,07:23 PM,9,14,15,14,17,78,69,1.7,1013,20,10,257,13
2020-02-13,21,14,0.0,11.1,5,5,60,No moonrise,11:29 AM,08:10 AM,07:24 PM,6,16,17,16,22,29,53,0.0,1020,21,10,130,16
2020-02-14,18,10,0.0,7.1,3,3,53,12:24 AM,12:09 PM,08:10 AM,07:25 PM,8,13,14,13,24,46,67,0.0,1026,18,10,49,18
2020-02-15,24,14,0.0,8.6,4,4,45,01:27 AM,12:50 PM,08:09 AM,07:25 PM,13,18,19,18,17,51,70,0.0,1021,24,10,143,12
2020-02-16,27,18,0.0,5.6,5,5,38,02:28 AM,01:34 PM,08:08 AM,07:26 PM,18,23,23,22,14,77,79,0.0,1016,27,8,124,10
2020-02-17,31,21,0.0,10.1,7,7,30,03:30 AM,02:21 PM,08:07 AM,07:27 PM,18,26,26,25,30,30,71,0.0,1010,31,10,166,22
2020-02-18,31,22,0.0,11.2,7,7,22,04:28 AM,03:12 PM,08:07 AM,07:27 PM,18,27,27,25,36,21,66,0.1,1011,31,10,159,26
2020-02-19,27,19,0.0,5.6,5,5,15,05:23 AM,04:05 PM,08:06 AM,07:28 PM,17,24,24,23,19,95,75,0.4,1019,27,10,46,14
2020-02-20,16,10,0.0,5.6,4,4,7,06:13 AM,05:00 PM,08:05 AM,07:29 PM,11,13,15,13,27,100,77,1.5,1024,16,8,357,20
2020-02-21,13,9,0.0,8.6,3,3,0,07:00 AM,05:55 PM,08:04 AM,07:29 PM,3,8,10,8,27,71,61,0.5,1035,13,8,9,21
2020-02-22,19,10,0.0,5.6,3,3,0,07:41 AM,06:49 PM,08:03 AM,07:30 PM,8,14,14,14,16,77,66,0.0,1027,19,10,86,11
2020-02-23,24,16,0.0,5.6,5,5,0,08:18 AM,07:43 PM,08:02 AM,07:30 PM,16,20,21,20,31,83,79,0.3,1016,24,10,154,21
2020-02-24,28,19,0.0,10.1,5,5,0,08:52 AM,08:35 PM,08:02 AM,07:31 PM,14,23,23,23,28,54,65,0.0,1010,28,10,188,19
2020-02-25,28,20,0.0,11.3,6,6,8,09:25 AM,09:26 PM,08:01 AM,07:32 PM,10,24,24,23,13,33,46,0.0,1011,28,10,145,8
2020-02-26,17,12,0.0,11.3,5,5,15,09:56 AM,10:16 PM,08:00 AM,07:32 PM,-1,15,15,15,38,22,33,0.0,1027,17,10,234,29
2020-02-27,19,8,0.0,11.6,4,4,23,10:26 AM,11:08 PM,07:59 AM,07:33 PM,-1,12,13,12,13,0,38,0.0,1030,19,10,55,8
2020-02-28,22,10,0.0,11.6,5,5,30,10:58 AM,11:59 PM,07:58 AM,07:33 PM,3,16,16,16,17,3,46,0.0,1028,22,10,159,11
2020-02-29,24,13,0.0,11.6,5,5,38,11:32 AM,No moonset,07:57 AM,07:34 PM,8,18,18,18,32,7,53,0.0,1023,24,10,145,23
2020-03-01,29,18,0.0,11.6,5,5,44,12:08 PM,12:52 AM,07:56 AM,07:35 PM,16,24,24,22,39,27,67,0.0,1014,29,10,172,27
2020-03-02,31,20,0.0,10.2,6,6,51,12:48 PM,01:47 AM,07:55 AM,07:35 PM,18,25,25,24,29,25,72,0.0,1009,31,10,161,21
2020-03-03,31,21,0.0,8.8,6,6,58,01:35 PM,02:43 AM,07:54 AM,07:36 PM,19,26,26,24,18,70,75,0.0,1007,31,10,119,13
2020-03-04,29,22,0.0,10.2,6,6,65,02:27 PM,03:41 AM,07:53 AM,07:36 PM,11,25,25,24,29,47,55,0.2,1009,29,10,318,21
2020-03-05,23,14,0.0,11.6,5,5,73,03:26 PM,04:38 AM,07:52 AM,07:37 PM,8,18,19,18,28,21,50,0.0,1023,23,10,342,21
2020-03-06,23,15,0.0,11.6,5,5,80,04:30 PM,05:34 AM,07:51 AM,07:37 PM,8,18,19,18,20,22,54,0.0,1029,23,10,51,14
2020-03-07,25,14,0.0,11.6,5,5,87,05:37 PM,06:26 AM,07:50 AM,07:38 PM,10,19,20,19,24,24,60,0.0,1026,25,10,112,17
2020-03-08,26,16,0.0,8.8,5,5,95,06:45 PM,07:15 AM,07:49 AM,07:39 PM,13,21,21,21,30,49,65,0.0,1022,26,10,143,21
2020-03-09,26,19,0.0,6.0,5,5,100,07:53 PM,07:59 AM,07:48 AM,07:39 PM,17,23,23,22,33,70,71,0.1,1020,26,10,151,24
2020-03-10,27,21,0.0,7.4,5,5,100,09:01 PM,08:41 AM,07:47 AM,07:40 PM,19,25,25,23,22,61,78,2.9,1022,27,8,152,15
2020-03-11,30,19,0.0,11.6,7,7,84,10:07 PM,09:22 AM,07:46 AM,07:40 PM,17,25,25,24,25,19,69,0.0,1017,30,10,153,18
2020-03-12,30,21,0.0,11.6,7,7,76,11:13 PM,10:03 AM,07:45 AM,07:41 PM,18,26,26,24,33,24,71,0.0,1011,30,10,152,24
2020-03-13,30,21,0.0,11.6,7,7,69,No moonrise,10:45 AM,07:44 AM,07:41 PM,19,26,26,25,36,12,70,0.0,1012,30,10,148,27
2020-03-14,30,22,0.0,10.2,6,6,62,12:18 AM,11:30 AM,07:43 AM,07:42 PM,19,27,27,25,33,39,71,0.4,1016,30,10,144,24
2020-03-15,31,23,0.0,11.6,7,7,55,01:22 AM,12:17 PM,07:42 AM,07:42 PM,19,27,27,26,28,49,68,0.3,1019,31,10,137,22
2020-03-16,30,22,0.0,6.0,6,6,47,02:22 AM,01:08 PM,07:41 AM,07:43 PM,19,27,27,25,25,73,71,0.4,1018,30,10,145,19
2020-03-17,31,21,0.0,11.6,6,6,40,03:20 AM,02:01 PM,07:40 AM,07:43 PM,19,27,27,26,33,26,68,0.0,1015,31,10,147,25
2020-03-18,30,23,0.0,11.6,7,7,33,04:12 AM,02:55 PM,07:39 AM,07:44 PM,19,27,27,26,35,33,68,0.0,1014,30,10,149,26
2020-03-19,33,23,0.0,11.6,7,7,25,04:59 AM,03:51 PM,07:37 AM,07:44 PM,19,29,29,27,36,14,65,0.0,1012,33,10,161,27
2020-03-20,31,23,0.0,8.8,6,6,18,05:42 AM,04:45 PM,07:36 AM,07:45 PM,20,29,29,27,26,67,71,2.0,1017,31,10,147,20
2020-03-21,25,18,0.0,6.1,5,5,11,06:19 AM,05:39 PM,07:35 AM,07:45 PM,18,21,21,21,29,94,84,14.2,1022,25,8,16,20
2020-03-22,28,18,0.0,7.4,5,5,4,06:54 AM,06:30 PM,07:34 AM,07:46 PM,18,24,24,23,17,72,79,0.1,1017,28,9,114,12
2020-03-23,31,21,0.0,11.6,7,7,0,07:27 AM,07:22 PM,07:33 AM,07:46 PM,19,27,27,25,34,13,71,0.0,1015,31,10,157,25
2020-03-24,36,23,0.0,11.6,7,7,0,07:58 AM,08:12 PM,07:32 AM,07:47 PM,19,30,30,28,31,0,61,0.0,1011,36,10,137,21
2020-03-25,34,22,0.0,11.6,7,7,3,08:28 AM,09:03 PM,07:31 AM,07:47 PM,20,29,29,27,22,12,68,0.0,1011,34,9,137,17
2020-03-26,35,23,0.0,11.6,7,7,11,08:59 AM,09:55 PM,07:30 AM,07:48 PM,17,30,30,28,38,2,59,0.0,1008,35,10,160,28
2020-03-27,34,24,0.0,11.6,7,7,18,09:32 AM,10:47 PM,07:29 AM,07:48 PM,18,30,30,28,44,0,57,0.0,1005,34,10,159,31
2020-03-28,34,24,0.0,11.6,7,7,25,10:07 AM,11:41 PM,07:28 AM,07:48 PM,19,31,31,28,31,22,65,0.0,1009,34,10,291,23
2020-03-29,27,20,0.0,6.1,5,5,32,10:46 AM,No moonset,07:27 AM,07:49 PM,17,26,26,24,29,89,66,2.2,1016,27,9,55,22
2020-03-30,31,23,0.0,6.1,6,6,40,11:29 AM,12:36 AM,07:25 AM,07:49 PM,21,28,28,26,22,72,75,1.2,1013,31,10,156,16
2020-03-31,33,22,0.0,11.6,7,7,44,12:18 PM,01:33 AM,07:24 AM,07:50 PM,14,27,27,27,22,11,57,0.0,1014,33,10,127,16
2020-04-01,29,19,0.0,10.2,5,5,56,01:13 PM,02:28 AM,07:23 AM,07:50 PM,16,25,25,24,23,34,64,0.0,1013,29,10,114,18
2020-04-02,31,22,0.0,7.5,6,6,64,02:12 PM,03:23 AM,07:22 AM,07:51 PM,20,28,28,26,30,73,71,0.1,1010,31,10,150,22
2020-04-03,29,23,0.0,6.2,6,6,71,03:16 PM,04:15 AM,07:21 AM,07:51 PM,21,28,28,26,27,79,73,1.1,1009,29,10,145,19
2020-04-04,25,19,0.0,6.2,5,5,79,04:22 PM,05:03 AM,07:20 AM,07:52 PM,20,25,25,23,28,96,81,3.5,1012,25,9,47,20
2020-04-05,25,21,0.0,6.2,5,5,87,05:29 PM,05:48 AM,07:19 AM,07:52 PM,19,24,24,22,23,99,81,1.2,1015,25,8,48,17
2020-04-06,29,21,0.0,6.2,6,6,94,06:36 PM,06:31 AM,07:18 AM,07:53 PM,21,26,26,25,16,90,80,1.7,1014,29,10,86,11
2020-04-07,32,23,0.0,7.5,6,6,100,07:44 PM,07:12 AM,07:17 AM,07:53 PM,22,30,30,27,18,66,73,1.1,1014,32,10,154,13
2020-04-08,35,24,0.0,10.2,6,6,100,08:51 PM,07:53 AM,07:16 AM,07:54 PM,22,31,31,29,18,35,71,1.4,1011,35,10,161,13
2020-04-09,35,24,0.0,11.6,7,7,83,09:58 PM,08:35 AM,07:15 AM,07:54 PM,22,32,32,29,18,18,72,0.0,1009,35,10,145,13
2020-04-10,29,23,0.0,6.2,6,6,76,11:05 PM,09:19 AM,07:14 AM,07:55 PM,22,29,29,26,26,92,79,12.3,1012,29,9,55,18
2020-04-11,32,24,0.0,6.2,6,6,68,No moonrise,10:07 AM,07:13 AM,07:55 PM,22,30,30,27,30,80,74,0.6,1007,32,9,146,22
2020-04-12,34,24,0.0,11.6,8,8,61,12:10 AM,10:58 AM,07:12 AM,07:56 PM,11,28,28,29,35,9,43,0.0,1004,34,10,324,23
2020-04-13,26,19,0.0,11.6,6,6,53,01:11 AM,11:53 AM,07:11 AM,07:56 PM,9,23,23,22,21,0,46,0.0,1015,26,10,37,16
2020-04-14,20,14,0.0,6.2,4,4,46,02:07 AM,12:48 PM,07:10 AM,07:57 PM,14,18,19,18,21,89,70,0.0,1017,20,10,10,16
2020-04-15,21,14,0.0,7.6,4,4,38,02:57 AM,01:45 PM,07:09 AM,07:57 PM,10,17,17,17,23,69,65,0.0,1020,21,10,27,17
2020-04-16,23,16,0.0,6.3,5,5,30,03:42 AM,02:40 PM,07:08 AM,07:58 PM,15,20,21,20,22,87,74,0.0,1017,23,10,100,14
2020-04-17,27,21,0.0,6.3,5,5,23,04:21 AM,03:34 PM,07:07 AM,07:58 PM,21,26,26,23,26,75,83,1.3,1014,27,9,147,17
2020-04-18,32,24,0.0,6.3,6,6,15,04:56 AM,04:26 PM,07:06 AM,07:59 PM,23,30,30,27,16,75,78,2.3,1012,32,9,151,11
2020-04-19,37,24,0.0,10.3,7,7,8,05:30 AM,05:18 PM,07:05 AM,07:59 PM,18,31,31,30,24,34,59,0.0,1007,37,10,278,16
2020-04-20,36,22,0.0,11.6,8,8,0,06:00 AM,06:08 PM,07:04 AM,08:00 PM,18,31,31,29,22,1,59,0.0,1009,36,10,100,15
2020-04-21,33,24,0.0,7.8,6,6,0,06:31 AM,06:59 PM,07:03 AM,08:00 PM,23,31,31,28,31,69,75,0.2,1010,33,10,135,23
2020-04-22,37,26,0.0,11.6,8,8,0,07:02 AM,07:51 PM,07:02 AM,08:01 PM,22,33,33,30,33,33,66,0.1,1007,37,10,173,25
