date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,26,15,0.0,10.8,5,5,11,03:01 AM,05:05 PM,05:27 AM,06:55 PM,14,21,21,20,17,47,72,3.5,1011,26,10,308,11
2020-01-23,26,15,0.0,8.3,5,5,3,03:53 AM,05:59 PM,05:27 AM,06:55 PM,14,21,21,20,20,69,69,4.7,1013,26,8,198,12
2020-01-24,24,16,0.0,8.3,5,5,0,04:48 AM,06:48 PM,05:28 AM,06:55 PM,15,21,21,20,18,82,75,13.6,1017,24,9,338,12
2020-01-25,23,15,0.0,8.3,5,5,0,05:44 AM,07:33 PM,05:29 AM,06:54 PM,14,18,19,18,15,62,75,18.5,1016,23,8,296,9
2020-01-26,26,14,0.0,13.2,5,5,4,06:39 AM,08:12 PM,05:30 AM,06:54 PM,13,23,23,22,19,27,64,0.2,1013,26,10,295,13
2020-01-27,29,16,0.0,13.2,7,7,11,07:33 AM,08:49 PM,05:30 AM,06:54 PM,12,24,24,23,19,22,60,0.6,1015,29,10,259,13
2020-01-28,24,14,0.0,12.0,5,5,18,08:25 AM,09:22 PM,05:31 AM,06:53 PM,13,19,20,19,17,51,69,0.3,1016,24,10,303,12
2020-01-29,28,13,0.0,13.2,6,6,26,09:17 AM,09:54 PM,05:32 AM,06:53 PM,10,22,22,22,14,4,54,0.0,1015,28,10,323,8
2020-01-30,27,15,0.0,13.2,6,6,33,10:07 AM,10:25 PM,05:33 AM,06:53 PM,13,23,23,22,14,20,61,0.3,1018,27,10,147,8
2020-01-31,28,14,0.0,13.2,5,5,37,10:58 AM,10:56 PM,05:34 AM,06:52 PM,12,22,22,22,17,44,64,4.6,1018,28,10,202,10
2020-02-01,32,15,0.0,13.2,7,7,49,11:49 AM,11:30 PM,05:34 AM,06:52 PM,11,24,24,24,25,11,53,0.2,1017,32,10,105,16
2020-02-02,31,14,0.0,13.2,7,7,57,12:41 PM,No moonset,05:35 AM,06:51 PM,10,23,23,23,27,2,56,0.0,1019,31,10,95,18
2020-02-03,30,13,0.0,13.2,7,7,64,01:37 PM,12:05 AM,05:36 AM,06:51 PM,7,22,22,22,19,0,50,0.0,1019,30,10,93,13
2020-02-04,29,13,0.0,13.1,7,7,72,02:33 PM,12:45 AM,05:37 AM,06:50 PM,8,23,23,22,15,3,47,0.0,1016,29,10,288,9
2020-02-05,29,15,0.0,13.1,7,7,79,03:33 PM,01:30 AM,05:37 AM,06:49 PM,11,24,24,23,13,7,54,0.0,1013,29,10,309,9
2020-02-06,28,16,0.0,10.7,6,6,87,04:32 PM,02:21 AM,05:38 AM,06:49 PM,14,24,24,23,19,62,63,9.2,1014,28,9,301,12
2020-02-07,26,16,0.0,10.7,5,5,95,05:30 PM,03:20 AM,05:39 AM,06:48 PM,15,21,21,20,22,67,73,18.1,1016,26,9,172,13
2020-02-08,25,16,0.0,10.7,5,5,100,06:24 PM,04:23 AM,05:40 AM,06:48 PM,15,21,21,20,16,67,76,13.6,1015,25,9,315,11
2020-02-09,26,16,0.0,9.4,5,5,100,07:15 PM,05:30 AM,05:40 AM,06:47 PM,16,23,23,21,14,72,75,15.3,1014,26,9,320,9
2020-02-10,24,15,0.0,10.7,5,5,83,08:01 PM,06:38 AM,05:41 AM,06:46 PM,15,19,20,19,31,62,77,14.6,1015,24,8,93,19
2020-02-11,18,14,0.0,13.0,4,4,75,08:43 PM,07:45 AM,05:42 AM,06:46 PM,12,16,16,16,32,52,78,0.1,1018,18,10,113,24
2020-02-12,23,13,0.0,10.7,5,5,68,09:24 PM,08:50 AM,05:42 AM,06:45 PM,12,17,18,17,18,47,72,1.2,1018,23,8,161,13
2020-02-13,28,14,0.0,13.0,6,6,60,10:03 PM,09:55 AM,05:43 AM,06:44 PM,12,21,21,21,8,11,61,0.0,1014,28,10,267,6
2020-02-14,29,15,0.0,13.0,7,7,53,10:43 PM,10:58 AM,05:44 AM,06:43 PM,11,22,22,22,16,7,54,0.0,1014,29,10,58,10
2020-02-15,30,15,0.0,13.0,7,7,45,11:25 PM,12:00 PM,05:44 AM,06:43 PM,9,23,23,23,20,2,51,0.0,1016,30,10,66,13
2020-02-16,29,13,0.0,13.0,7,7,38,No moonrise,01:02 PM,05:45 AM,06:42 PM,8,22,22,22,17,2,50,0.0,1016,29,10,21,10
2020-02-17,30,14,0.0,13.0,7,7,30,12:10 AM,02:02 PM,05:46 AM,06:41 PM,10,24,24,23,15,5,50,0.0,1014,30,10,289,9
2020-02-18,29,17,0.0,12.9,6,6,22,12:58 AM,03:00 PM,05:46 AM,06:40 PM,13,22,22,22,25,39,63,0.5,1017,29,10,62,18
2020-02-19,24,17,0.0,10.6,5,5,15,01:49 AM,03:55 PM,05:47 AM,06:39 PM,15,21,21,21,14,64,73,12.1,1017,24,9,217,9
