date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,1,-3,0.0,4.8,1,1,11,07:22 AM,04:14 PM,08:58 AM,06:19 PM,-2,-4,-1,-4,17,93,92,0.0,1011,1,8,244,9
2020-01-23,-3,-10,0.6,4.8,1,1,3,08:16 AM,05:10 PM,08:57 AM,06:20 PM,-6,-11,-6,-11,25,97,96,1.1,1018,-3,7,339,15
2020-01-24,-6,-15,0.3,4.8,1,1,0,09:03 AM,06:10 PM,08:56 AM,06:21 PM,-8,-12,-8,-12,19,90,96,0.4,1022,-6,7,342,11
2020-01-25,-7,-15,0.2,9.7,1,1,0,09:42 AM,07:13 PM,08:55 AM,06:23 PM,-11,-13,-10,-13,11,46,92,0.3,1019,-7,10,237,5
2020-01-26,-1,-6,0.2,8.2,1,1,4,10:13 AM,08:16 PM,08:55 AM,06:24 PM,-4,-6,-3,-6,11,69,92,0.3,1015,-1,9,191,6
2020-01-27,-9,-16,0.8,4.9,1,1,11,10:40 AM,09:20 PM,08:53 AM,06:26 PM,-11,-16,-10,-16,18,75,95,0.9,1022,-9,5,326,10
2020-01-28,-9,-16,0.0,4.9,1,1,18,11:04 AM,10:21 PM,08:52 AM,06:27 PM,-14,-16,-13,-16,10,71,94,0.0,1024,-9,7,116,6
2020-01-29,-7,-13,0.1,4.9,1,1,26,11:26 AM,11:23 PM,08:51 AM,06:29 PM,-10,-14,-10,-14,15,88,95,0.1,1024,-7,7,138,8
2020-01-30,-2,-8,0.8,4.9,1,1,33,11:47 AM,No moonset,08:50 AM,06:30 PM,-6,-9,-5,-9,17,99,96,1.1,1019,-2,4,126,10
2020-01-31,-1,-8,4.8,6.6,1,1,37,12:08 PM,12:23 AM,08:49 AM,06:31 PM,-3,-6,-3,-6,16,81,94,5.8,1017,-1,6,289,10
2020-02-01,3,-5,0.0,9.9,1,1,49,12:31 PM,01:25 AM,08:48 AM,06:33 PM,-3,-5,-0,-5,42,25,83,0.0,1009,3,10,235,21
2020-02-02,4,-6,0.0,9.9,2,2,57,12:56 PM,02:28 AM,08:47 AM,06:34 PM,-1,-2,2,-2,43,25,81,0.0,1006,4,10,301,22
2020-02-03,-5,-12,0.0,8.3,1,1,64,01:26 PM,03:33 AM,08:46 AM,06:36 PM,-10,-14,-7,-14,28,62,85,0.0,1018,-5,10,238,19
2020-02-04,-12,-18,0.0,9.9,1,1,72,02:02 PM,04:38 AM,08:44 AM,06:37 PM,-15,-19,-14,-19,14,54,89,0.0,1029,-12,7,230,8
2020-02-05,-4,-11,0.0,10.0,2,2,79,02:47 PM,05:44 AM,08:43 AM,06:39 PM,-12,-15,-8,-15,35,9,75,0.0,1019,-4,10,219,18
2020-02-06,-4,-10,2.2,6.6,1,1,87,03:43 PM,06:46 AM,08:42 AM,06:40 PM,-9,-13,-8,-13,23,56,89,2.7,1006,-4,7,235,13
2020-02-07,-17,-22,0.6,6.7,1,1,95,04:48 PM,07:43 AM,08:40 AM,06:42 PM,-19,-27,-18,-27,28,76,93,0.7,1017,-17,8,332,18
2020-02-08,-7,-22,0.0,10.0,2,2,100,06:03 PM,08:31 AM,08:39 AM,06:43 PM,-15,-19,-14,-19,17,41,86,0.0,1020,-7,10,194,9
2020-02-09,-9,-16,7.0,8.3,1,1,100,07:22 PM,09:13 AM,08:38 AM,06:45 PM,-10,-16,-10,-16,23,69,94,8.5,1022,-9,5,330,14
2020-02-10,-3,-8,0.0,10.0,1,1,83,08:42 PM,09:47 AM,08:36 AM,06:46 PM,-8,-12,-6,-12,33,36,86,0.0,1020,-3,10,264,18
2020-02-11,-4,-11,0.0,10.1,2,2,75,10:01 PM,10:17 AM,08:35 AM,06:48 PM,-10,-15,-8,-15,37,18,84,0.0,1020,-4,10,245,20
2020-02-12,-4,-27,0.0,6.7,1,1,68,11:19 PM,10:45 AM,08:33 AM,06:49 PM,-17,-26,-15,-26,42,75,85,0.5,1020,-4,8,343,28
