date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-11,-20,0.2,8.7,2,2,11,04:50 AM,03:00 PM,07:03 AM,05:19 PM,-18,-21,-17,-21,9,39,91,0.1,1034,-11,9,296,5
2020-01-23,-9,-19,0.0,8.7,2,2,3,05:48 AM,03:53 PM,07:02 AM,05:20 PM,-18,-17,-15,-17,8,18,73,0.0,1031,-9,10,276,4
2020-01-24,-8,-15,2.1,3.8,1,1,0,06:39 AM,04:50 PM,07:02 AM,05:21 PM,-15,-14,-13,-14,7,61,86,2.7,1024,-8,6,210,4
2020-01-25,-8,-17,0.0,8.7,2,2,0,07:25 AM,05:48 PM,07:01 AM,05:22 PM,-15,-17,-14,-17,8,30,91,0.0,1027,-8,8,294,4
2020-01-26,-8,-18,0.0,8.7,2,2,4,08:05 AM,06:45 PM,07:01 AM,05:23 PM,-20,-16,-15,-16,5,6,65,0.0,1026,-8,10,153,3
2020-01-27,-8,-20,0.0,8.7,2,2,11,08:40 AM,07:42 PM,07:00 AM,05:24 PM,-20,-17,-14,-17,10,14,68,0.0,1025,-8,10,233,5
2020-01-28,-10,-21,0.0,8.7,2,2,18,09:12 AM,08:38 PM,07:00 AM,05:25 PM,-21,-23,-18,-23,14,8,78,0.0,1028,-10,10,323,7
2020-01-29,-10,-20,0.0,8.7,2,2,26,09:41 AM,09:33 PM,06:59 AM,05:26 PM,-26,-18,-16,-18,6,1,44,0.0,1029,-10,10,124,3
2020-01-30,-9,-20,0.0,8.7,2,2,33,10:08 AM,10:26 PM,06:58 AM,05:27 PM,-25,-17,-16,-17,5,29,48,0.0,1027,-9,10,114,3
2020-01-31,-9,-18,0.0,5.6,1,1,37,10:35 AM,11:21 PM,06:58 AM,05:28 PM,-18,-17,-15,-17,6,54,74,0.0,1025,-9,10,293,4
2020-02-01,-8,-19,0.0,8.7,2,2,49,11:04 AM,No moonset,06:57 AM,05:29 PM,-21,-15,-14,-15,5,1,56,0.0,1028,-8,10,168,3
2020-02-02,-8,-18,0.0,8.7,2,2,57,11:34 AM,12:16 AM,06:56 AM,05:30 PM,-20,-16,-15,-16,6,4,63,0.0,1029,-8,10,105,3
2020-02-03,-9,-19,4.1,5.6,1,1,64,12:08 PM,01:14 AM,06:56 AM,05:31 PM,-15,-17,-14,-17,10,58,89,5.3,1025,-9,5,107,5
2020-02-04,-10,-19,0.6,8.7,2,2,72,12:47 PM,02:12 AM,06:55 AM,05:32 PM,-18,-17,-15,-17,6,36,84,0.6,1027,-10,8,294,3
2020-02-05,-7,-20,0.0,8.7,2,2,79,01:32 PM,03:13 AM,06:54 AM,05:33 PM,-22,-16,-14,-16,7,21,51,0.0,1028,-7,10,294,3
2020-02-06,-9,-19,0.0,8.7,2,2,87,02:25 PM,04:14 AM,06:53 AM,05:34 PM,-19,-21,-15,-21,18,10,72,0.0,1030,-9,10,292,10
2020-02-07,-4,-18,0.0,8.7,2,2,95,03:26 PM,05:14 AM,06:52 AM,05:35 PM,-22,-15,-12,-15,12,0,42,0.0,1029,-4,10,287,6
2020-02-08,0,-12,0.0,8.7,2,2,100,04:33 PM,06:09 AM,06:52 AM,05:36 PM,-20,-9,-8,-9,7,0,36,0.0,1026,0,10,170,3
2020-02-09,-4,-13,0.0,8.7,2,2,100,05:44 PM,06:59 AM,06:51 AM,05:37 PM,-19,-10,-10,-10,3,4,49,0.0,1028,-4,10,73,2
2020-02-10,-4,-14,3.7,7.2,1,1,83,06:56 PM,07:44 AM,06:50 AM,05:38 PM,-11,-11,-9,-11,8,43,86,5.9,1025,-4,7,96,5
2020-02-11,-4,-10,9.4,4.1,1,1,75,08:07 PM,08:23 AM,06:49 AM,05:39 PM,-7,-11,-7,-11,12,93,96,11.0,1022,-4,2,111,8
2020-02-12,-3,-9,11.8,4.1,1,1,68,09:17 PM,09:01 AM,06:48 AM,05:40 PM,-6,-10,-6,-10,17,96,96,14.0,1020,-3,2,116,11
2020-02-13,-5,-17,7.2,7.2,1,1,60,10:25 PM,09:36 AM,06:47 AM,05:41 PM,-12,-13,-8,-13,17,53,81,7.6,1025,-5,7,285,10
2020-02-14,-4,-18,0.0,8.7,2,2,53,11:33 PM,10:11 AM,06:46 AM,05:42 PM,-22,-15,-12,-15,10,3,43,0.0,1030,-4,10,303,5
2020-02-15,-4,-15,0.0,8.7,2,2,45,No moonrise,10:47 AM,06:45 AM,05:43 PM,-19,-14,-10,-14,15,4,51,0.0,1028,-4,10,289,8
2020-02-16,-5,-18,0.0,8.7,2,2,38,12:39 AM,11:27 AM,06:44 AM,05:44 PM,-22,-16,-12,-16,13,3,44,0.0,1033,-5,10,288,6
2020-02-17,-2,-13,0.0,8.7,2,2,30,01:44 AM,12:09 PM,06:43 AM,05:44 PM,-21,-12,-9,-12,10,4,38,0.0,1032,-2,10,294,5
2020-02-18,-2,-12,0.0,8.7,2,2,22,02:45 AM,12:57 PM,06:42 AM,05:45 PM,-14,-12,-8,-12,15,10,62,0.0,1026,-2,10,286,8
2020-02-19,-7,-17,2.5,7.2,1,1,15,03:44 AM,01:48 PM,06:41 AM,05:46 PM,-15,-16,-11,-16,13,41,81,2.9,1027,-7,8,314,8
2020-02-20,-3,-17,0.0,8.7,2,2,7,04:36 AM,02:43 PM,06:39 AM,05:47 PM,-18,-11,-10,-11,5,6,53,0.0,1027,-3,10,114,3
2020-02-21,-1,-12,0.0,7.2,1,1,0,05:23 AM,03:40 PM,06:38 AM,05:48 PM,-14,-7,-7,-7,4,40,56,0.0,1026,-1,10,117,2
2020-02-22,-1,-10,0.0,8.7,2,2,0,06:04 AM,04:37 PM,06:37 AM,05:49 PM,-11,-8,-7,-8,8,6,72,0.0,1029,-1,10,291,4
2020-02-23,-2,-12,0.0,8.7,2,2,0,06:40 AM,05:34 PM,06:36 AM,05:50 PM,-13,-10,-8,-10,7,6,70,0.0,1027,-2,10,293,4
2020-02-24,-1,-11,0.0,8.7,1,1,0,07:13 AM,06:30 PM,06:35 AM,05:51 PM,-8,-10,-7,-10,12,46,90,0.1,1023,-1,9,279,6
2020-02-25,-2,-11,0.0,8.7,1,1,8,07:42 AM,07:25 PM,06:34 AM,05:52 PM,-9,-10,-7,-10,13,35,84,0.0,1023,-2,9,284,7
2020-02-26,0,-9,0.0,5.7,1,1,15,08:10 AM,08:19 PM,06:33 AM,05:52 PM,-6,-6,-4,-6,9,33,85,0.0,1021,0,9,285,5
2020-02-27,-1,-7,1.0,4.2,1,1,23,08:37 AM,09:14 PM,06:31 AM,05:53 PM,-4,-6,-3,-6,14,63,92,1.9,1018,-1,7,101,8
2020-02-28,-1,-10,8.9,4.2,1,1,30,09:05 AM,10:08 PM,06:30 AM,05:54 PM,-6,-6,-4,-6,7,83,93,10.7,1017,-1,5,125,4
2020-02-29,-2,-12,0.3,8.7,2,2,38,09:34 AM,11:04 PM,06:29 AM,05:55 PM,-12,-8,-8,-8,4,17,78,0.0,1020,-2,8,63,2
2020-03-01,-1,-11,0.0,8.7,2,2,44,10:06 AM,No moonset,06:28 AM,05:56 PM,-12,-8,-8,-8,4,7,72,0.0,1022,-1,10,119,2
