date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,-1,-7,0.0,7.0,1,1,11,07:26 AM,04:38 PM,09:07 AM,06:42 PM,-6,-10,-4,-10,31,53,86,0.0,1024,-1,10,205,19
2020-01-23,0,-4,0.8,3.5,1,1,3,08:21 AM,05:34 PM,09:06 AM,06:43 PM,-3,-6,-2,-6,19,93,93,1.7,1021,0,7,160,11
2020-01-24,1,-5,0.0,3.5,1,1,0,09:09 AM,06:33 PM,09:06 AM,06:44 PM,1,-3,1,-3,27,100,97,8.4,1014,1,9,88,17
2020-01-25,1,1,0.9,3.5,1,1,0,09:49 AM,07:35 PM,09:05 AM,06:46 PM,1,-2,1,-2,15,100,99,3.2,1009,1,2,202,10
2020-01-26,1,-0,2.5,3.5,1,1,4,10:22 AM,08:36 PM,09:04 AM,06:47 PM,0,-4,1,-4,26,100,99,3.0,1011,1,3,280,17
2020-01-27,1,-4,1.3,3.5,1,1,11,10:51 AM,09:38 PM,09:03 AM,06:48 PM,-1,-4,-1,-4,16,79,95,1.5,1014,1,8,328,10
2020-01-28,0,-3,0.5,3.6,1,1,18,11:17 AM,10:38 PM,09:02 AM,06:50 PM,-3,-4,-1,-4,12,79,90,0.7,1019,0,6,329,8
2020-01-29,-0,-4,0.3,3.6,1,1,26,11:40 AM,11:37 PM,09:01 AM,06:51 PM,-4,-5,-2,-5,10,90,88,0.4,1023,-0,9,94,7
2020-01-30,1,-3,0.1,8.2,1,1,33,12:03 PM,No moonset,09:00 AM,06:52 PM,-4,-3,-1,-3,7,70,84,0.1,1024,1,10,183,5
2020-01-31,1,-5,0.0,5.0,1,1,37,12:25 PM,12:36 AM,08:59 AM,06:54 PM,-3,-4,-1,-4,11,90,85,0.1,1022,1,10,192,8
2020-02-01,1,-1,3.6,5.0,1,1,49,12:49 PM,01:37 AM,08:58 AM,06:55 PM,-1,-5,0,-5,24,96,92,4.3,1012,1,6,240,16
2020-02-02,6,0,0.6,5.0,1,1,57,01:17 PM,02:37 AM,08:57 AM,06:56 PM,1,-2,3,-2,39,96,89,1.1,1000,6,8,267,26
2020-02-03,5,0,0.0,8.3,1,1,64,01:48 PM,03:40 AM,08:56 AM,06:58 PM,1,-0,2,-0,17,72,91,0.1,1009,5,8,109,11
2020-02-04,0,-3,0.0,10.0,1,1,72,02:25 PM,04:44 AM,08:55 AM,06:59 PM,-5,-6,-0,-6,25,59,73,0.1,1016,0,10,19,19
2020-02-05,-1,-5,0.3,8.4,1,1,79,03:11 PM,05:49 AM,08:54 AM,07:00 PM,-10,-8,-3,-8,15,71,62,1.2,1020,-1,9,84,12
2020-02-06,-2,-5,6.1,5.3,1,1,87,04:06 PM,06:51 AM,08:52 AM,07:02 PM,-5,-9,-3,-9,21,91,88,7.1,1006,-2,3,36,17
2020-02-07,-0,-7,0.6,5.3,1,1,95,05:11 PM,07:48 AM,08:51 AM,07:03 PM,-5,-7,-3,-7,18,78,84,0.8,1006,-0,9,315,13
2020-02-08,-1,-5,2.0,5.3,1,1,100,06:24 PM,08:38 AM,08:50 AM,07:05 PM,-5,-6,-3,-6,10,88,91,2.6,1020,-1,5,98,7
2020-02-09,-1,-9,6.6,5.3,1,1,100,07:41 PM,09:21 AM,08:49 AM,07:06 PM,-3,-7,-3,-7,25,86,93,13.5,1021,-1,5,172,16
2020-02-10,-1,-4,0.0,8.5,1,1,83,08:59 PM,09:58 AM,08:47 AM,07:07 PM,-3,-5,-2,-5,12,66,91,0.0,1019,-1,9,135,8
2020-02-11,-1,-7,0.0,6.9,1,1,75,10:16 PM,10:30 AM,08:46 AM,07:09 PM,-4,-7,-3,-7,23,70,86,0.1,1019,-1,10,272,17
2020-02-12,1,-4,0.3,8.5,1,1,68,11:32 PM,11:00 AM,08:45 AM,07:10 PM,-4,-6,-2,-6,20,64,85,0.8,1016,1,8,203,13
2020-02-13,-6,-12,2.2,5.3,1,1,60,No moonrise,11:29 AM,08:43 AM,07:11 PM,-8,-13,-7,-13,20,91,88,3.1,1017,-6,4,228,15
2020-02-14,-8,-11,0.7,5.4,1,1,53,12:46 AM,11:59 AM,08:42 AM,07:13 PM,-13,-15,-10,-15,13,85,82,0.9,1033,-8,8,251,10
2020-02-15,-2,-12,3.4,6.9,1,1,45,01:59 AM,12:30 PM,08:41 AM,07:14 PM,-9,-14,-6,-14,37,64,82,4.6,1022,-2,7,214,25
2020-02-16,0,-5,0.2,10.0,2,2,38,03:10 AM,01:06 PM,08:39 AM,07:15 PM,-4,-6,-2,-6,18,51,86,0.2,1020,0,9,281,11
2020-02-17,1,-6,1.7,5.4,1,1,30,04:18 AM,01:47 PM,08:38 AM,07:17 PM,-5,-8,-3,-8,29,88,85,2.8,1020,1,8,115,19
2020-02-18,2,-5,1.3,7.0,1,1,22,05:21 AM,02:34 PM,08:36 AM,07:18 PM,-2,-5,0,-5,35,77,86,4.5,1016,2,9,295,24
2020-02-19,-5,-8,0.0,10.1,1,1,15,06:17 AM,03:27 PM,08:35 AM,07:19 PM,-11,-12,-6,-12,23,38,71,0.1,1034,-5,10,298,17
2020-02-20,-6,-10,0.1,5.4,1,1,7,07:07 AM,04:24 PM,08:33 AM,07:20 PM,-12,-13,-8,-13,16,77,76,0.2,1038,-6,10,320,12
2020-02-21,-1,-8,0.0,10.9,2,2,0,07:48 AM,05:25 PM,08:32 AM,07:22 PM,-10,-10,-5,-10,33,0,66,0.0,1032,-1,10,239,22
2020-02-22,3,-5,0.0,10.9,2,2,0,08:23 AM,06:26 PM,08:30 AM,07:23 PM,-5,-5,0,-5,36,18,68,0.0,1022,3,10,237,22
2020-02-23,6,-1,0.0,11.0,2,2,0,08:53 AM,07:28 PM,08:29 AM,07:24 PM,-1,-3,2,-3,31,32,81,0.0,1015,6,10,224,20
2020-02-24,5,1,0.0,5.5,1,1,0,09:20 AM,08:28 PM,08:27 AM,07:26 PM,0,-0,2,-0,14,91,87,0.1,1013,5,10,54,10
2020-02-25,3,-1,0.1,5.5,1,1,8,09:44 AM,09:29 PM,08:26 AM,07:27 PM,-1,-5,1,-5,31,99,85,0.4,1015,3,8,50,23
2020-02-26,-2,-5,4.1,5.5,1,1,15,10:06 AM,10:27 PM,08:24 AM,07:28 PM,-4,-9,-2,-9,33,99,87,6.9,1014,-2,3,24,25
2020-02-27,-5,-7,0.2,5.5,1,1,23,10:28 AM,11:27 PM,08:22 AM,07:29 PM,-10,-14,-6,-14,35,97,71,0.7,1016,-5,6,297,28
