date_time,tempC,humidity,case,pop,lat,long,stayatHome,pred
2020-01-22,-1,86,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-23,0,93,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-24,1,97,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-25,1,99,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-26,1,99,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-27,1,95,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-28,0,90,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-29,0,88,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-30,1,84,0.0,578759,43.000325,-107.5545669,0,0.0
2020-01-31,1,85,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-01,1,92,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-02,6,89,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-03,5,91,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-04,0,73,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-05,-1,62,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-06,-2,88,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-07,0,84,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-08,-1,91,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-09,-1,93,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-10,-1,91,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-11,-1,86,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-12,1,85,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-13,-6,88,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-14,-8,82,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-15,-2,82,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-16,0,86,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-17,1,85,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-18,2,86,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-19,-5,71,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-20,-6,76,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-21,-1,66,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-22,3,68,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-23,6,81,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-24,5,87,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-25,3,85,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-26,-2,87,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-27,-5,71,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-28,-5,76,0.0,578759,43.000325,-107.5545669,0,0.0
2020-02-29,-2,71,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-01,7,78,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-02,5,82,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-03,6,79,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-04,3,76,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-05,8,72,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-06,3,78,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-07,8,59,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-08,13,56,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-09,12,78,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-10,10,74,0.0,578759,43.000325,-107.5545669,0,0.0
2020-03-11,8,80,0.0,578759,43.000325,-107.5545669,0,1.0
2020-03-12,13,82,1.0,578759,43.000325,-107.5545669,0,1.0
2020-03-13,5,62,1.0,578759,43.000325,-107.5545669,0,2.0
2020-03-14,6,66,2.0,578759,43.000325,-107.5545669,0,2.0
2020-03-15,5,71,2.0,578759,43.000325,-107.5545669,0,2.0
2020-03-16,6,71,2.0,578759,43.000325,-107.5545669,0,11.0
2020-03-17,5,67,11.0,578759,43.000325,-107.5545669,0,16.0
2020-03-18,9,64,16.0,578759,43.000325,-107.5545669,0,18.0
2020-03-19,11,88,18.0,578759,43.000325,-107.5545669,0,21.0
2020-03-20,5,79,21.0,578759,43.000325,-107.5545669,0,23.0
2020-03-21,4,47,23.0,578759,43.000325,-107.5545669,0,26.0
2020-03-22,5,61,26.0,578759,43.000325,-107.5545669,0,26.0
2020-03-23,4,90,26.0,578759,43.000325,-107.5545669,0,29.0
2020-03-24,8,80,29.0,578759,43.000325,-107.5545669,0,44.0
2020-03-25,12,77,44.0,578759,43.000325,-107.5545669,0,53.0
2020-03-26,13,85,53.0,578759,43.000325,-107.5545669,0,70.0
2020-03-27,13,76,70.0,578759,43.000325,-107.5545669,0,82.0
2020-03-28,12,93,82.0,578759,43.000325,-107.5545669,0,86.0
2020-03-29,11,85,86.0,578759,43.000325,-107.5545669,0,94.0
2020-03-30,6,86,94.0,578759,43.000325,-107.5545669,0,109.0
2020-03-31,6,88,109.0,578759,43.000325,-107.5545669,0,130.0
2020-04-01,9,84,130.0,578759,43.000325,-107.5545669,0,150.0
2020-04-02,14,71,150.0,578759,43.000325,-107.5545669,0,162.0
2020-04-03,16,59,162.0,578759,43.000325,-107.5545669,0,187.0
2020-04-04,9,81,187.0,578759,43.000325,-107.5545669,0,197.0
2020-04-05,15,60,197.0,578759,43.000325,-107.5545669,0,210.0
2020-04-06,14,60,210.0,578759,43.000325,-107.5545669,0,216.0
2020-04-07,20,84,216.0,578759,43.000325,-107.5545669,0,221.0
2020-04-08,17,81,221.0,578759,43.000325,-107.5545669,0,230.0
2020-04-09,6,66,230.0,578759,43.000325,-107.5545669,0,239.0
2020-04-10,5,65,239.0,578759,43.000325,-107.5545669,0,261.0
2020-04-11,13,66,261.0,578759,43.000325,-107.5545669,0,270.0
2020-04-12,15,88,270.0,578759,43.000325,-107.5545669,0,275.0
2020-04-13,4,77,275.0,578759,43.000325,-107.5545669,0,282.0
2020-04-14,3,52,282.0,578759,43.000325,-107.5545669,0,287.0
